Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Held To Maturity Securities,Other Inventories
,45578324.0,45578324.0,,269785000.0,12549665000.0,12563339000.0,7476567000.0,12549665000.0,265104000.0,12558658000.0,12558658000.0,12558658000.0,12558658000.0,12467501000.0,,,91157000.0,91157000.0,3232630000.0,451205000.0,,,51144000.0,224572000.0,224572000.0,18093000.0,2781425000.0,353894000.0,45213000.0,40532000.0,4681000.0,,1148000.0,1578115000.0,,,83191000.0,1494924000.0,15791288000.0,5533296000.0,31398000.0,,1837054000.0,1837054000.0,,159254000.0,8993000.0,8993000.0,3494805000.0,,3494805000.0,282463000.0,3212342000.0,,,,,10257992000.0,741036000.0,,,4178894000.0,,,,258321000.0,3467728000.0,,,1612013000.0,1606922000.0,5091000.0,,2024-03-31,,
,45578324.0,45578324.0,13424000.0,314912000.0,11857877000.0,11898873000.0,7172779000.0,11857877000.0,284924000.0,11868885000.0,11868885000.0,11868885000.0,11868885000.0,11777728000.0,,,91157000.0,91157000.0,4147160000.0,451491000.0,,,41805000.0,242128000.0,242128000.0,9083000.0,3695669000.0,194910000.0,72784000.0,42796000.0,29988000.0,,2113000.0,1747819000.0,,,221557000.0,1526262000.0,16016045000.0,5147597000.0,82700000.0,,1554843000.0,1554843000.0,,,11008000.0,11008000.0,3497266000.0,,3497266000.0,148196000.0,3349070000.0,,,,,10868448000.0,517321000.0,,,3352282000.0,,,,157075000.0,5293752000.0,,,1548018000.0,1531454000.0,16564000.0,,2023-09-30,,
0.0,45578324.0,45578324.0,3254000.0,335169000.0,10601012000.0,10651045000.0,5982201000.0,10601012000.0,297085000.0,10612961000.0,10612961000.0,10612961000.0,10612961000.0,10521804000.0,10503375000.0,8882000.0,91157000.0,91157000.0,3439949000.0,460599000.0,28544000.0,151531000.0,23903000.0,256621000.0,256621000.0,28544000.0,2979350000.0,37000.0,78548000.0,40464000.0,38084000.0,2113000.0,2113000.0,2760896000.0,896066000.0,8008000.0,104492000.0,1752330000.0,14052910000.0,5091359000.0,1000.0,40535000.0,1589104000.0,-38666000.0,1627770000.0,,11949000.0,11949000.0,3210769000.0,-872948000.0,4083717000.0,1576607000.0,1634163000.0,738958000.0,1435512000.0,332640000.0,0.0,8961551000.0,15210000.0,17361000.0,114817000.0,3450656000.0,1991938000.0,74849000.0,1383869000.0,980574000.0,3390399000.0,-68366000.0,3458765000.0,992534000.0,957704000.0,34830000.0,34830000.0,2023-03-31,,
