Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-19111562.782294,0.31228,5344600000.0,-61200000.0,-61200000.0,1913800000.0,1148300000.0,29305100000.0,5283400000.0,4135100000.0,-149900000.0,149900000.0,1955888437.217706,1913800000.0,40085900000.0,,,,,1913800000.0,1913800000.0,0.0,1913800000.0,-826900000.0,2740700000.0,0.0,2740700000.0,1244500000.0,3985200000.0,833700000.0,-61200000.0,61200000.0,0.0,0.0,-149900000.0,149900000.0,3364100000.0,10780800000.0,7018200000.0,1148300000.0,1148300000.0,14144900000.0,29305100000.0,43450000000.0,43450000000.0,2024-03-31
0.0,0.301148,5271200000.0,0.0,0.0,-200100000.0,1233300000.0,27497100000.0,5271200000.0,4037900000.0,-134500000.0,134500000.0,-200100000.0,5310600000.0,37075100000.0,193534985.0,193253275.0,27.44,27.48,5310600000.0,5310600000.0,0.0,5310600000.0,-2928000000.0,8238600000.0,5510700000.0,2727900000.0,1175500000.0,3903400000.0,582500000.0,0.0,,0.0,0.0,-134500000.0,134500000.0,3456800000.0,9578000000.0,5997100000.0,1233300000.0,1233300000.0,13034800000.0,27497100000.0,40531900000.0,40531900000.0,2023-12-31
56463451.092266,0.290301,6235600000.0,194500000.0,194500000.0,2855800000.0,1181500000.0,27682300000.0,6430100000.0,5248600000.0,-130800000.0,130800000.0,2717763451.092266,2633700000.0,37252200000.0,193512123.0,193228173.0,13.61,13.63,2633700000.0,2633700000.0,0.0,2633700000.0,-776300000.0,3410000000.0,-222100000.0,3632100000.0,1485700000.0,5117800000.0,616100000.0,194500000.0,-194500000.0,0.0,0.0,-130800000.0,130800000.0,4440400000.0,9569900000.0,6078100000.0,1181500000.0,1181500000.0,14010300000.0,27682300000.0,41692600000.0,41692600000.0,2023-09-30
-36527701.483167,0.275681,5153600000.0,-132500000.0,-132500000.0,2081800000.0,1090800000.0,25580900000.0,5021100000.0,3930300000.0,-107400000.0,107400000.0,2177772298.516833,2149700000.0,34095700000.0,193666667.0,193318345.0,11.1,11.12,2149700000.0,2149700000.0,0.0,2149700000.0,-687200000.0,2836900000.0,67900000.0,2769000000.0,1053900000.0,3822900000.0,484800000.0,-132500000.0,132500000.0,,0.0,-107400000.0,107400000.0,3579000000.0,8514800000.0,5375900000.0,1090800000.0,1090800000.0,12093800000.0,25580900000.0,37674700000.0,37674700000.0,2023-06-30
-1269508.588175,0.164871,5002400000.0,-7700000.0,-7700000.0,1424400000.0,1204500000.0,28387600000.0,4994700000.0,3790200000.0,140700000.0,104900000.0,1430830491.411825,3113800000.0,31593300000.0,,,,,3113800000.0,3113800000.0,0.0,3113800000.0,-1653300000.0,4767100000.0,1689400000.0,3077700000.0,607600000.0,3685300000.0,-781100000.0,-326000000.0,-292500000.0,,,140700000.0,104900000.0,4297500000.0,3205700000.0,-5248500000.0,1204500000.0,-192000000.0,7503200000.0,28387600000.0,35890800000.0,35890800000.0,2023-03-31
,,,,,,,,,,,,,,,198055556.0,197556675.0,11.88,11.91,,,,,,,,,,,,,-508000000.0,0.0,0.0,,,,,,,,,,,,2022-12-31
0.0,0.323695,5931100000.0,0.0,0.0,2252300000.0,1136300000.0,29738400000.0,5931100000.0,4794800000.0,-157100000.0,157100000.0,2252300000.0,2252300000.0,40188000000.0,193662941.0,193496564.0,11.63,11.64,2252300000.0,2252300000.0,0.0,2252300000.0,-884200000.0,3136500000.0,0.0,3136500000.0,1501200000.0,4637700000.0,647400000.0,0.0,,,,-157100000.0,157100000.0,4148900000.0,10449600000.0,6594800000.0,1136300000.0,1136300000.0,14598500000.0,29738400000.0,44336900000.0,44336900000.0,2024-06-30 00:00:00
