Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Derivative Product Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Financial Assets,Other Investments
0.0,754958148.0,754958148.0,6230300000.0,11550200000.0,30552900000.0,85212000000.0,-17495800000.0,30552900000.0,2967200000.0,76629000000.0,84037500000.0,85561400000.0,8932400000.0,76629000000.0,69079400000.0,,,7549600000.0,7549600000.0,47326400000.0,15624700000.0,,,,4292800000.0,9858200000.0,2449700000.0,7408500000.0,1465700000.0,31701700000.0,1596600000.0,,1692000000.0,517500000.0,1174500000.0,556700000.0,7665500000.0,,,387600000.0,7277900000.0,132887800000.0,118681900000.0,789900000.0,,3174100000.0,535200000.0,535200000.0,2296500000.0,,,46076100000.0,4134500000.0,41941600000.0,58080200000.0,,58080200000.0,5404500000.0,52675700000.0,,,,,14205900000.0,473900000.0,,3400000.0,,,1074200000.0,,,15800000.0,,6278300000.0,,,6360300000.0,4007600000.0,2352700000.0,,,2024-03-31,,
,754958148.0,754958148.0,6497900000.0,10327700000.0,30116100000.0,83501500000.0,-16553300000.0,30116100000.0,2927800000.0,76101600000.0,81895500000.0,84803600000.0,8702000000.0,76101600000.0,68552000000.0,,,7549600000.0,7549600000.0,43050100000.0,13907500000.0,,,,4229000000.0,8229500000.0,2435600000.0,5793900000.0,1437100000.0,29142600000.0,1198900000.0,,2098200000.0,492200000.0,1606000000.0,565900000.0,8321000000.0,,,252700000.0,8068300000.0,127853700000.0,115264400000.0,952300000.0,,3362400000.0,466700000.0,466700000.0,2139400000.0,,,45985500000.0,4228300000.0,41757200000.0,55638800000.0,,55638800000.0,5252400000.0,50386400000.0,,,,,12589300000.0,552500000.0,,3400000.0,,,1234300000.0,,,11800000.0,,6930900000.0,,,3856400000.0,2954400000.0,902000000.0,,,2023-09-30,,
,754958148.0,754958148.0,5620680000.0,9257215000.0,26653416000.0,79454129000.0,-195263000.0,26653416000.0,2225710000.0,72422624000.0,78144836000.0,81003881000.0,8581257000.0,72422624000.0,17518000.0,-10140743000.0,72151940000.0,7549581000.0,7549581000.0,43332163000.0,29073359000.0,15910000000.0,1302402000.0,200802000.0,4107283000.0,7548529000.0,1826317000.0,5722212000.0,1302400000.0,14258804000.0,97992000.0,39126000.0,1708686000.0,399393000.0,1309293000.0,558313000.0,9903833000.0,2760333000.0,631000.0,39100000.0,7142869000.0,124336044000.0,110272503000.0,-2001000.0,1269581000.0,3442658000.0,-46543000.0,-46543000.0,2103029000.0,31999000.0,2071030000.0,45769208000.0,4359323000.0,41409885000.0,50773010000.0,-15780665000.0,66553675000.0,2277382000.0,14890515000.0,5714593000.0,16420361000.0,27250824000.0,0.0,14063541000.0,8570000.0,16954000.0,2560545000.0,64631000.0,663455000.0,1228447000.0,-20515000.0,1248962000.0,740592000.0,16820000.0,5100834000.0,-2426771000.0,7527605000.0,3662693000.0,2251868000.0,1410825000.0,809020000.0,601805000.0,2023-03-31,,
