Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Restricted Cash,Prepaid Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
121714258.0,121714258.0,31906600000.0,58422300000.0,35233300000.0,89706800000.0,277682400000.0,35233300000.0,5082500000.0,36367000000.0,89706800000.0,47920200000.0,11553200000.0,36367000000.0,35149900000.0,,,1217100000.0,1217100000.0,355370700000.0,354136400000.0,290537000000.0,602900000.0,58422300000.0,5082500000.0,53339800000.0,1234300000.0,1234300000.0,,,75600000.0,1158700000.0,403290900000.0,124374300000.0,1637700000.0,,,3478500000.0,111354900000.0,111354900000.0,,1133700000.0,1133700000.0,6769500000.0,,6769500000.0,305600000.0,6463900000.0,,,,278916700000.0,,,256349800000.0,6100000.0,,22560800000.0,1127600000.0,21433200000.0,,2023-09-30
121678094.0,121678094.0,27553400000.0,55639600000.0,31197400000.0,82929500000.0,287094300000.0,31197400000.0,4944900000.0,32234800000.0,82929500000.0,42421500000.0,10186700000.0,32234800000.0,613600000.0,13297000000.0,11082100000.0,1216800000.0,1216800000.0,312439900000.0,310873800000.0,254438400000.0,600000000.0,55639600000.0,4944900000.0,50694700000.0,1566100000.0,1566100000.0,650100000.0,1600000.0,,914400000.0,354861400000.0,66200900000.0,537500000.0,900000.0,1010000000.0,3328900000.0,54312100000.0,52387600000.0,1924500000.0,1037400000.0,1037400000.0,5974100000.0,-5864200000.0,11838300000.0,175700000.0,7518100000.0,2961400000.0,1183100000.0,0.0,288660400000.0,200600000.0,431400000.0,231528700000.0,114300000.0,11700000.0,56373700000.0,33232400000.0,23141300000.0,23141300000.0,2023-03-31
