Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-29504029.237715,0.355899,20376100000.0,-82900000.0,-82900000.0,11385000000.0,224190700000.0,20293200000.0,20293200000.0,-2617400000.0,2617400000.0,11438395970.762283,11385000000.0,233303200000.0,,,,,11385000000.0,11385000000.0,0.0,11385000000.0,11385000000.0,11385000000.0,6290800000.0,17675800000.0,392700000.0,-82900000.0,,-2617400000.0,2617400000.0,19966800000.0,9112500000.0,6108800000.0,29079300000.0,224190700000.0,253270000000.0,253270000000.0,2024-03-31
0.0,0.342335,8698100000.0,0.0,0.0,3920800000.0,235428800000.0,8698100000.0,8698100000.0,-2736400000.0,2736400000.0,3920800000.0,3920800000.0,238517000000.0,1750357143.0,1750357143.0,2.24,2.24,3920800000.0,3920800000.0,0.0,3920800000.0,3920800000.0,3920800000.0,2040900000.0,5961700000.0,395800000.0,0.0,,-2736400000.0,2736400000.0,8252100000.0,3088200000.0,1462700000.0,11340300000.0,235428800000.0,246769100000.0,246769100000.0,2023-12-31
0.0,0.341844,19090900000.0,0.0,0.0,10516800000.0,163267400000.0,19090900000.0,19090900000.0,-3111700000.0,3111700000.0,10516800000.0,10516800000.0,173874000000.0,1752800000.0,1752800000.0,6.0,6.0,10516800000.0,10516800000.0,0.0,10516800000.0,10516800000.0,10516800000.0,5462400000.0,15979200000.0,609500000.0,0.0,,-3111700000.0,3111700000.0,18422500000.0,10606600000.0,9009500000.0,29029100000.0,163267400000.0,192296500000.0,192296500000.0,2023-09-30
0.0,0.349839,18281500000.0,0.0,0.0,10147900000.0,186884700000.0,18281500000.0,18281500000.0,-2672900000.0,2672900000.0,10147900000.0,10147900000.0,193988000000.0,1752659758.0,1752659758.0,5.79,5.79,10147900000.0,10147900000.0,0.0,10147900000.0,10147900000.0,10148100000.0,5460500000.0,15608600000.0,517800000.0,0.0,,-2672900000.0,2672900000.0,17743200000.0,7103300000.0,5609000000.0,24846500000.0,186884700000.0,211731200000.0,211731200000.0,2023-06-30
-254358853.422797,0.352591,31428200000.0,-721400000.0,-721400000.0,19133570000.0,222117870000.0,30706800000.0,30706800000.0,-1156860000.0,1152750000.0,19600611146.5772,19133570000.0,208395380000.0,,,,,19133570000.0,19133570000.0,0.0,19133570000.0,19133570000.0,19133570000.0,10420480000.0,29554050000.0,50600000.0,-721400000.0,,-1156860000.0,1152750000.0,46808330000.0,-13722490000.0,-16150930000.0,33085840000.0,222117870000.0,255203710000.0,255203710000.0,2023-03-31
,,,,,,,,,,,,,,1756306306.0,1756306306.0,-1.11,-1.11,,,,,,,,,,,-25000000.0,,,,,,,,,,2022-12-31
0.0,0.32379,3227600000.0,0.0,0.0,732200000.0,222196400000.0,3227600000.0,3227600000.0,-2144800000.0,2144800000.0,732200000.0,732200000.0,229766400000.0,1743333333.0,1743333333.0,0.42,0.42,732200000.0,732200000.0,0.0,732200000.0,732200000.0,732200000.0,350600000.0,1082800000.0,447300000.0,0.0,,-2144800000.0,2144800000.0,2703800000.0,7570000000.0,5904500000.0,10273800000.0,222196400000.0,232470200000.0,232470200000.0,2024-06-30 00:00:00
