Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Investmentsin Joint Venturesat Cost
0.0,49573400.0,49573400.0,13333000000.0,13684600000.0,22924500000.0,37226100000.0,6953100000.0,22924500000.0,285200000.0,23826700000.0,34055300000.0,23826700000.0,23826700000.0,,,,99100000.0,99100000.0,19943300000.0,11364300000.0,134500000.0,,,643300000.0,10401600000.0,173000000.0,10228600000.0,184900000.0,8579000000.0,402600000.0,3283000000.0,112200000.0,3170800000.0,,121200000.0,3032800000.0,,,7800000.0,3025000000.0,43770000000.0,28237900000.0,1930500000.0,,313600000.0,313600000.0,,7400000.0,505100000.0,902200000.0,24600000.0,877600000.0,24449600000.0,,24449600000.0,7110900000.0,17338700000.0,,,,,15532100000.0,1366200000.0,,0.0,,,3716500000.0,,,,6100000.0,5125100000.0,,,5318200000.0,5251800000.0,66400000.0,,,2024-03-31,
,49571640.0,49571640.0,12296200000.0,12588900000.0,21771300000.0,35040900000.0,7894600000.0,21771300000.0,210300000.0,22662300000.0,32899200000.0,22662300000.0,22662300000.0,,,,99100000.0,99100000.0,17562100000.0,11017200000.0,134700000.0,,,360800000.0,10356000000.0,119100000.0,10236900000.0,165700000.0,6544900000.0,359100000.0,2232900000.0,91200000.0,2141700000.0,114100000.0,114100000.0,2058000000.0,,,84700000.0,1973300000.0,40224400000.0,25784900000.0,1998100000.0,,335700000.0,335700000.0,,7500000.0,510600000.0,891000000.0,13400000.0,877600000.0,21832100000.0,,21832100000.0,5200300000.0,16631800000.0,,,,,14439500000.0,1898200000.0,,17200000.0,,,4285700000.0,,,,2100000.0,3420700000.0,,,4815600000.0,4733200000.0,82400000.0,,,2023-09-30,
,49571170.0,49571170.0,8341800000.0,8608000000.0,20956400000.0,30336000000.0,9446900000.0,20956400000.0,121500000.0,21849500000.0,29380800000.0,21849500000.0,21849500000.0,176300000.0,19010500000.0,275200000.0,99100000.0,99100000.0,13443400000.0,8228600000.0,134700000.0,150900000.0,134700000.0,347500000.0,7595500000.0,64200000.0,7531300000.0,150900000.0,5214800000.0,3900000.0,1012500000.0,57300000.0,955200000.0,79600000.0,79600000.0,3824000000.0,1258100000.0,48800000.0,82300000.0,2434800000.0,35292900000.0,20631200000.0,10600000.0,769100000.0,108900000.0,397100000.0,108900000.0,7500000.0,516500000.0,893100000.0,15500000.0,877600000.0,17881600000.0,-2428100000.0,20309700000.0,2832400000.0,15049200000.0,14824100000.0,2406200000.0,247000000.0,0.0,14661700000.0,15400000.0,3200000.0,17200000.0,166800000.0,3624100000.0,4681200000.0,808600000.0,588200000.0,3284400000.0,61600000.0,5615200000.0,-41400000.0,5656600000.0,492400000.0,347700000.0,144700000.0,500000.0,144200000.0,2023-03-31,
