Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Gross PPE,Construction In Progress,Other Properties,Receivables,Taxes Receivable,Cash And Cash Equivalents,Date,Cash Cash Equivalents And Federal Funds Sold
0.0,329721163.0,329721163.0,4426002000.0,22974082000.0,26870313000.0,22974082000.0,23431412000.0,26870313000.0,31746216000.0,8314804000.0,23431412000.0,20134200000.0,3297212000.0,3297212000.0,64025146000.0,4426002000.0,10249774000.0,2353153000.0,63000.0,7896558000.0,95771362000.0,70690247000.0,70690247000.0,70690247000.0,457330000.0,340177000.0,117153000.0,1208627000.0,1208627000.0,,1208627000.0,2451911000.0,1222512000.0,10721708000.0,2024-03-31,
,328391263.0,328391263.0,6784459000.0,21539032000.0,27721351000.0,21539032000.0,22009076000.0,27721351000.0,29387657000.0,7378581000.0,22009076000.0,18725163000.0,3283913000.0,3283913000.0,61721589000.0,6784459000.0,9222622000.0,2342182000.0,119000.0,6880321000.0,91109246000.0,63929597000.0,63929597000.0,63929597000.0,470044000.0,372840000.0,97204000.0,1377740000.0,1377740000.0,39000.0,1377701000.0,1860656000.0,2108896000.0,10320248000.0,2023-09-30,
,323559463.0,323559463.0,8409531000.0,20074743000.0,27871573000.0,20074743000.0,20576851000.0,27871573000.0,26774516000.0,6197665000.0,20576851000.0,17341256000.0,3235595000.0,3235595000.0,54164423000.0,8409531000.0,6469726000.0,3094372000.0,188403000.0,3186951000.0,80938939000.0,55192603000.0,55192603000.0,55192603000.0,502108000.0,404904000.0,97204000.0,1512211000.0,1512211000.0,,1512211000.0,1754482000.0,2194943000.0,8115910000.0,2023-03-31,
