Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
,77744300.0,77744300.0,672000000.0,1937000000.0,20012000000.0,21541000000.0,10065000000.0,20012000000.0,434000000.0,20038000000.0,21059000000.0,20371000000.0,333000000.0,20038000000.0,19883000000.0,,,155000000.0,155000000.0,4643000000.0,1802000000.0,68000000.0,18000000.0,328000000.0,1388000000.0,367000000.0,1021000000.0,,2841000000.0,405000000.0,549000000.0,67000000.0,482000000.0,,249000000.0,657000000.0,,,657000000.0,25014000000.0,12108000000.0,196000000.0,,,2195000000.0,2195000000.0,,,,26000000.0,26000000.0,9681000000.0,,9681000000.0,1090000000.0,8591000000.0,,,,,12906000000.0,771000000.0,,,,106000000.0,,12000000.0,190000000.0,6006000000.0,,,5821000000.0,4990000000.0,831000000.0,,,2024-03-31
0.0,77637910.0,77637910.0,637000000.0,1586000000.0,18572000000.0,19757000000.0,8662000000.0,18572000000.0,430000000.0,18601000000.0,19448000000.0,18919000000.0,318000000.0,18601000000.0,18446000000.0,,,155000000.0,155000000.0,4264000000.0,1600000000.0,68000000.0,18000000.0,298000000.0,1216000000.0,369000000.0,847000000.0,68000000.0,2664000000.0,304000000.0,370000000.0,61000000.0,309000000.0,,313000000.0,615000000.0,,,615000000.0,23183000000.0,11857000000.0,526000000.0,,,2165000000.0,2165000000.0,,,,29000000.0,29000000.0,9127000000.0,,9127000000.0,607000000.0,8520000000.0,,,,,11326000000.0,631000000.0,,,,102000000.0,,92000000.0,171000000.0,5604000000.0,,,4726000000.0,4207000000.0,519000000.0,,,2023-09-30
,77563450.0,77563450.0,,918740000.0,16989450000.0,17643100000.0,7660740000.0,16989450000.0,293520000.0,17017880000.0,17413460000.0,17319050000.0,301170000.0,17017880000.0,100380000.0,5025410000.0,365630000.0,155130000.0,155130000.0,3690110000.0,1005850000.0,56630000.0,18210000.0,300250000.0,630760000.0,235180000.0,395580000.0,56630000.0,2684260000.0,307230000.0,287980000.0,58340000.0,229640000.0,88460000.0,226320000.0,915030000.0,131330000.0,23840000.0,759860000.0,21009160000.0,10664160000.0,402100000.0,453300000.0,11450000.0,409120000.0,409120000.0,1607760000.0,1582780000.0,24980000.0,28430000.0,28430000.0,8143980000.0,-5583870000.0,13727850000.0,259780000.0,1792060000.0,8189860000.0,2073750000.0,1412400000.0,0.0,10345000000.0,469300000.0,29190000.0,146450000.0,498590000.0,50030000.0,50030000.0,1141170000.0,289280000.0,5609100000.0,-126370000.0,5735470000.0,2581190000.0,881830000.0,1699360000.0,1364470000.0,334890000.0,2023-03-31
