Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,,1253403000.0,1254917000.0,796309000.0,2051226000.0,538811000.0,796309000.0,,796309000.0,1504586000.0,796309000.0,0.0,796309000.0,566793000.0,,,229516000.0,229516000.0,1631728000.0,790318000.0,77050000.0,708277000.0,,708277000.0,4991000.0,841410000.0,2469000.0,546640000.0,,546640000.0,9822000.0,233612000.0,,11875000.0,221737000.0,2428037000.0,1047816000.0,23000.0,,297000.0,297000.0,3522000.0,1043820000.0,,1043820000.0,246526000.0,797294000.0,,,,,1380221000.0,87637000.0,,,255270000.0,,,,,3421000.0,,983270000.0,,,50623000.0,49109000.0,1514000.0,,2024-03-31
20951550.0,20951550.0,1111968000.0,1112386000.0,686256000.0,1798642000.0,397136000.0,686256000.0,0.0,686256000.0,1418662000.0,686256000.0,,686256000.0,476740000.0,,,209516000.0,209516000.0,1526202000.0,782197000.0,45244000.0,732406000.0,0.0,732406000.0,4547000.0,744005000.0,1385000.0,379980000.0,0.0,379980000.0,15828000.0,300398000.0,,4700000.0,295698000.0,2212458000.0,1071317000.0,,,205330000.0,205330000.0,3613000.0,862374000.0,,862374000.0,7514000.0,854860000.0,,,,,1141141000.0,46549000.0,,,231134000.0,,,,,31851000.0,0.0,782954000.0,,,48653000.0,48235000.0,418000.0,,2023-09-30
20951550.0,20951550.0,1065727000.0,1140850000.0,636902000.0,1777752000.0,357768000.0,636902000.0,0.0,636902000.0,1249110000.0,636902000.0,,636902000.0,30999000.0,241425000.0,153734000.0,209516000.0,209516000.0,1341301000.0,658040000.0,41583000.0,612208000.0,0.0,612208000.0,4249000.0,683261000.0,1000.0,528642000.0,0.0,528642000.0,12729000.0,99600000.0,2489000.0,0.0,97111000.0,1978203000.0,937173000.0,-2000.0,609000.0,609000.0,609000.0,3705000.0,932861000.0,-643340000.0,1576201000.0,2323000.0,50632000.0,1284934000.0,232012000.0,6300000.0,0.0,1041029000.0,-2000.0,12548000.0,5435000.0,153893000.0,15486000.0,20513000.0,55941000.0,61953000.0,21668000.0,58291000.0,714073000.0,-10094000.0,724167000.0,75123000.0,13016000.0,75123000.0,75123000.0,2023-03-31
