Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Properties,Prepaid Assets,Receivables,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number,Other Payable,Cash Cash Equivalents And Federal Funds Sold
18902412256.0,18902412256.0,115722700000.0,303871700000.0,275614500000.0,579486200000.0,275614500000.0,275614500000.0,579486200000.0,275614500000.0,0.0,275614500000.0,,,,189024100000.0,189024100000.0,3243078700000.0,303871700000.0,,,3518693200000.0,991939200000.0,991939200000.0,,,37401900000.0,,,,,,,,188149000000.0,,169055400000.0,2024-03-31,,,
18902412256.0,18902412256.0,156884200000.0,309936600000.0,267658100000.0,577594700000.0,267658100000.0,267658100000.0,577594700000.0,267658100000.0,0.0,267658100000.0,,,,189024100000.0,189024100000.0,3171787800000.0,309936600000.0,,,3439445900000.0,977750600000.0,977750600000.0,,,37621000000.0,,,,,,,,153052400000.0,,137913400000.0,2023-12-31,,,
18902412256.0,18902412256.0,104529000000.0,295287300000.0,259761100000.0,555048400000.0,259761100000.0,259761100000.0,555048400000.0,259761100000.0,0.0,259761100000.0,,,,189024100000.0,189024100000.0,3103727200000.0,295287300000.0,,,3363488300000.0,956076800000.0,956076800000.0,,,37752900000.0,,,,,,,,190758300000.0,,173866400000.0,2023-09-30,,,
18902412256.0,18902412256.0,,178396200000.0,253608500000.0,432004700000.0,253608500000.0,253608500000.0,432004700000.0,253608500000.0,0.0,253608500000.0,,,,189024100000.0,189024100000.0,2894767600000.0,178396200000.0,,,3148376100000.0,929775800000.0,929775800000.0,,,37415400000.0,,,,,,,,204690000000.0,,192040600000.0,2023-06-30,,,
18902412256.0,18902412256.0,8017345000.0,216225652000.0,248760398000.0,464986050000.0,248760398000.0,248760398000.0,464986050000.0,248760398000.0,0.0,248760398000.0,27531536000.0,-164544478000.0,85579011000.0,189024123000.0,189024123000.0,2885738642000.0,216225652000.0,1624402000.0,1624402000.0,3134499040000.0,936425202000.0,936425202000.0,1259316000.0,0.0,37107387000.0,-35784071000.0,72891458000.0,879000.0,27170980000.0,45719599000.0,45230018000.0,81903620000.0,208208307000.0,3877851000.0,11250745000.0,2023-03-31,,,
18902412256.0,18902412256.0,143171300000.0,331006500000.0,270839100000.0,601845600000.0,270839100000.0,270839100000.0,601845600000.0,270839100000.0,0.0,270839100000.0,,,,189024100000.0,189024100000.0,3394131300000.0,331006500000.0,,,3664970400000.0,1015175000000.0,1015175000000.0,,,37384600000.0,,,,,,,,187835200000.0,,171932700000.0,2024-06-30 00:00:00,,,
18902412256.0,18902412256.0,57684900000.0,287642000000.0,281047200000.0,568689200000.0,281047200000.0,281047200000.0,568689200000.0,281047200000.0,0.0,281047200000.0,,,,189024100000.0,189024100000.0,3482578700000.0,287642000000.0,,,3763625900000.0,1069531900000.0,1069531900000.0,,,37359200000.0,,,,,,,,229957100000.0,,204698000000.0,2024-09-30 00:00:00,,,229957100000.0
