Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
26057114.691156,0.139492,3497200000.0,186800000.0,186800000.0,3313900000.0,139300000.0,3981500000.0,3684000000.0,3544700000.0,3153157114.691156,3313900000.0,5123200000.0,,,,,3313900000.0,3313900000.0,0.0,3313900000.0,0.0,3317000000.0,0.0,3317000000.0,537700000.0,3854700000.0,123200000.0,173700000.0,0.0,-173700000.0,3544700000.0,1141700000.0,1002400000.0,139300000.0,139300000.0,4686400000.0,3981500000.0,8667900000.0,8667900000.0,2024-03-31
84002976.79112,0.256811,2892900000.0,327100000.0,327100000.0,2651400000.0,151500000.0,3366900000.0,3220000000.0,3068500000.0,2408302976.79112,2651400000.0,4235400000.0,777536657.0,768521739.0,3.41,3.45,2651400000.0,2651400000.0,0.0,2651400000.0,0.0,2651400000.0,0.0,2651400000.0,916200000.0,3567600000.0,172000000.0,318900000.0,,-318900000.0,3068500000.0,868500000.0,717000000.0,151500000.0,151500000.0,3937000000.0,3366900000.0,7303900000.0,7303900000.0,2023-12-31
1942452072.310798,0.24007,-4922100000.0,8091200000.0,8091200000.0,8545500000.0,147400000.0,3248200000.0,3169100000.0,3021700000.0,2396752072.310798,8601700000.0,4084100000.0,777028004.0,768008929.0,11.07,11.2,8601700000.0,8601700000.0,0.0,8601700000.0,-600000.0,8602300000.0,56200000.0,8546100000.0,2699800000.0,11245900000.0,133000000.0,7884600000.0,-8165200000.0,280600000.0,3021700000.0,835900000.0,688500000.0,147400000.0,147400000.0,3857600000.0,3248200000.0,7105800000.0,7105800000.0,2023-09-30
-13390043.014775,0.251693,2724400000.0,-53200000.0,-53200000.0,1998100000.0,154900000.0,3350600000.0,2671200000.0,2516300000.0,2037909956.985225,2257400000.0,4133900000.0,775738832.0,767823129.0,2.91,2.94,2257400000.0,2257400000.0,0.0,2257400000.0,-2500000.0,2259900000.0,259300000.0,2000600000.0,672900000.0,2673500000.0,210400000.0,-60700000.0,,60700000.0,2516300000.0,783300000.0,628400000.0,154900000.0,154900000.0,3299600000.0,3350600000.0,6650200000.0,6650200000.0,2023-06-30
39289368.863955,0.220851,8273500000.0,177900000.0,177900000.0,831600000.0,140400000.0,-6380800000.0,8451400000.0,8311000000.0,692989368.863955,1983800000.0,-4749500000.0,,,,,1983800000.0,1983800000.0,0.0,1983800000.0,-1800000.0,1985500000.0,,833300000.0,236200000.0,1069500000.0,-263200000.0,-22800000.0,-102300000.0,52600000.0,5873600000.0,1631300000.0,-1211100000.0,140400000.0,87300000.0,7504900000.0,-6380800000.0,1124100000.0,1124100000.0,2023-03-31
,,,,,,,,,,,,,774936170.0,765168067.0,2.35,2.38,,,,,,,342000000.0,,,,,,,,,,,,,,,,,2022-12-31
16425132.811497,0.251533,3677500000.0,65300000.0,65300000.0,2916400000.0,145100000.0,4223300000.0,3742800000.0,3597700000.0,2867525132.811497,2916400000.0,5617500000.0,773580902.0,769498681.0,3.77,3.79,2916400000.0,2916400000.0,0.0,2916400000.0,0.0,2916400000.0,0.0,2916400000.0,980100000.0,3896500000.0,233500000.0,85000000.0,,-85000000.0,3597700000.0,1394200000.0,1249100000.0,145100000.0,145100000.0,4991900000.0,4223300000.0,9215200000.0,9215200000.0,2024-06-30 00:00:00
