Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Current Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date,Treasury Shares Number,Retained Earnings,Additional Paid In Capital,Non Current Pension And Other Postretirement Benefit Plans,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Other Payable,Non Current Prepaid Assets,Held To Maturity Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Restricted Cash,Prepaid Assets,Cash Financial
6353284188.0,6353284188.0,0.0,1154799200000.0,1156308400000.0,63141800000.0,1154799200000.0,1156308400000.0,1156308400000.0,1156308400000.0,1156308400000.0,1092775600000.0,63532800000.0,63532800000.0,0.0,39667500000.0,39077700000.0,36700000.0,38475000000.0,0.0,0.0,159700000.0,589800000.0,589800000.0,474000000.0,115800000.0,1195975900000.0,1132244300000.0,412900000.0,1800000.0,1129970100000.0,1129970100000.0,1509200000.0,495800000.0,1013400000.0,350300000.0,63731600000.0,3600000.0,870600000.0,306600000.0,62550800000.0,61917900000.0,632900000.0,2023-09-30,,,,,,,,,,,,,,,,,,,
6353284188.0,6353284188.0,0.0,1390038300000.0,1391476600000.0,169504800000.0,1390038300000.0,1391476600000.0,1391476600000.0,1391476600000.0,1391476600000.0,,63532800000.0,63532800000.0,,57153300000.0,55636600000.0,,55576100000.0,,,,1516700000.0,1280900000.0,,162700000.0,1448629900000.0,1277608400000.0,,2300000.0,748137400000.0,666300000.0,1438300000.0,433500000.0,1004800000.0,312700000.0,171021500000.0,4584400000.0,,139700000.0,165191400000.0,164519600000.0,671800000.0,2024-03-31 00:00:00,0.0,115786600000.0,296171500000.0,60500000.0,0.0,0.0,235800000.0,1118200000.0,851600000.0,1027200000.0,746443900000.0,526866100000.0,-400400000.0,713100000.0,712700000.0,400000.0,651100000.0,454900000.0,671800000.0
