Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
15253805.0,15253805.0,14037000.0,14680000.0,268590000.0,311493000.0,1904000.0,268590000.0,296813000.0,311493000.0,296813000.0,296813000.0,144275000.0,,,152538000.0,152538000.0,179243000.0,16705000.0,456000.0,,,14680000.0,14680000.0,1569000.0,162538000.0,5966000.0,,,156572000.0,,156572000.0,476056000.0,311615000.0,1010000.0,,3427000.0,23638000.0,23638000.0,28223000.0,2246000.0,25977000.0,53135000.0,,,,,,164442000.0,11048000.0,,51441000.0,,66473000.0,35480000.0,34837000.0,643000.0,,2024-03-31
15253805.0,15253805.0,20213000.0,21052000.0,268735000.0,318461000.0,-736000.0,268735000.0,297409000.0,318461000.0,297409000.0,297409000.0,144871000.0,,,152538000.0,152538000.0,166365000.0,23638000.0,451000.0,,,21052000.0,21052000.0,2135000.0,142727000.0,3994000.0,,,138733000.0,,138733000.0,463774000.0,321783000.0,17948000.0,,3056000.0,26893000.0,26893000.0,28674000.0,2697000.0,25977000.0,51495000.0,,,,,,141991000.0,10409000.0,,31204000.0,,78661000.0,21717000.0,20878000.0,839000.0,,2023-09-30
15253805.0,15253805.0,26169400.0,26415230.0,266085370.0,321338900.0,97384290.0,266085370.0,294923670.0,321014570.0,294923670.0,294923670.0,142386000.0,3760930.0,138624690.0,152538050.0,152538050.0,140821290.0,28650770.0,424730.0,1214140.0,921000.0,26090900.0,26090900.0,2135000.0,112170520.0,330320.0,324330.0,324330.0,111515870.0,2339310.0,109176560.0,435744960.0,226190150.0,17532000.0,102128920.0,3070400.0,40092580.0,40092580.0,28838300.0,2861680.0,25976620.0,52059950.0,-43755470.0,95815420.0,13909750.0,81905670.0,0.0,209554810.0,-10.0,42237340.0,21353460.0,2381790.0,78384740.0,65197490.0,64951660.0,245830.0,245830.0,2023-03-31
