Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Preferred Securities Outside Stock Equity,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
114573353.0,114573353.0,6427455000.0,7298165000.0,6381529000.0,13320572000.0,1784882000.0,6381529000.0,438901000.0,6461308000.0,11413264000.0,6461308000.0,6461308000.0,6232161000.0,,,229147000.0,229147000.0,12791161000.0,5900730000.0,,,413345000.0,5357828000.0,405872000.0,4951956000.0,129557000.0,6890431000.0,309939000.0,1940337000.0,33029000.0,1907308000.0,,13985000.0,4309175000.0,,51162000.0,4258013000.0,19252469000.0,10577156000.0,114553000.0,,7565000.0,1246454000.0,1246454000.0,79779000.0,14564000.0,65215000.0,9091366000.0,,9091366000.0,84025000.0,9007341000.0,,,,,8675313000.0,709959000.0,,,4934003000.0,,,,,1757740000.0,,,1273611000.0,841802000.0,431809000.0,,,2024-03-31
112742690.0,112742690.0,5205276000.0,5798663000.0,4192954000.0,9806796000.0,1272896000.0,4192954000.0,222435000.0,4230568000.0,8220520000.0,4230568000.0,4230568000.0,4005082000.0,,,225486000.0,225486000.0,10710014000.0,4721327000.0,,,470101000.0,4192573000.0,202621000.0,3989952000.0,58653000.0,5988687000.0,258578000.0,1606090000.0,19814000.0,1586276000.0,,9478000.0,3856748000.0,,36469000.0,3820279000.0,14940582000.0,7678999000.0,218913000.0,,2092000.0,96944000.0,96944000.0,37614000.0,7452000.0,30162000.0,7276536000.0,,7276536000.0,329042000.0,6947494000.0,,,,,7261583000.0,624544000.0,,,4505288000.0,,,,,1067816000.0,,,1063935000.0,692983000.0,370952000.0,,,2023-09-30
112742690.0,112742690.0,4506660000.0,5118032000.0,3714710000.0,8654655000.0,927568000.0,3714710000.0,212680000.0,3749303000.0,7561150000.0,3749303000.0,3749303000.0,8629000.0,2117345000.0,1350080000.0,225486000.0,225486000.0,9602542000.0,4553295000.0,7698000.0,53720000.0,477591000.0,4014286000.0,202439000.0,3811847000.0,,5049247000.0,8465000.0,1103746000.0,10241000.0,1093505000.0,9571000.0,,3704473000.0,351345000.0,,3353128000.0,13351845000.0,7375030000.0,256310000.0,469117000.0,4253000.0,96811000.0,96811000.0,34593000.0,4431000.0,30162000.0,6753375000.0,-1615474000.0,8368849000.0,1247247000.0,386352000.0,3866119000.0,2336487000.0,532644000.0,0.0,5976815000.0,574872000.0,52221000.0,564579000.0,3339117000.0,615958000.0,593705000.0,2129454000.0,523604000.0,1044858000.0,-3865000.0,1048723000.0,452436000.0,53744000.0,398692000.0,18958000.0,379734000.0,2023-03-31
