Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Dividends Payable
,134459860.0,134459860.0,750395000.0,14339456000.0,19417823000.0,10323723000.0,14339456000.0,750395000.0,19417823000.0,19417823000.0,19417823000.0,19417823000.0,19283363000.0,,,134460000.0,134460000.0,10671970000.0,613710000.0,7526000.0,,590221000.0,590221000.0,0.0,15963000.0,10058260000.0,168977000.0,,160174000.0,160174000.0,,81172000.0,5593873000.0,,86837000.0,5507036000.0,30089793000.0,9707810000.0,938436000.0,,393421000.0,332728000.0,332728000.0,16748000.0,5078367000.0,2432852000.0,2645515000.0,2948110000.0,,2948110000.0,233746000.0,2714364000.0,,,,,20381983000.0,257225000.0,,,,,8423928000.0,,,11700830000.0,6265291000.0,5435539000.0,,,2024-03-31,
,134433360.0,134433360.0,791391000.0,12519240000.0,17492447000.0,8828256000.0,12519240000.0,777881000.0,17478937000.0,17492447000.0,17478937000.0,17478937000.0,17344504000.0,,,134433000.0,134433000.0,11356396000.0,676904000.0,7407000.0,,641538000.0,628028000.0,13510000.0,20540000.0,10679492000.0,136505000.0,,149853000.0,149853000.0,,80050000.0,6935134000.0,,261060000.0,6674074000.0,28835333000.0,9327585000.0,725583000.0,,431913000.0,283612000.0,283612000.0,12885000.0,4959697000.0,2320534000.0,2639163000.0,2913895000.0,,2913895000.0,99510000.0,2814385000.0,,,,,19507748000.0,495008000.0,,,,,8941359000.0,,,10071381000.0,5226849000.0,4844532000.0,,,2023-09-30,
0.0,134400357.0,134400357.0,825855000.0,12229058000.0,15174935000.0,9161602000.0,12229058000.0,825855000.0,15174935000.0,15174935000.0,15174935000.0,15174935000.0,259816000.0,11909767000.0,2172042000.0,134400000.0,134400000.0,8950897000.0,764017000.0,6185000.0,17977000.0,731779000.0,731779000.0,,17977000.0,8186880000.0,203350000.0,47820000.0,94076000.0,94076000.0,12902000.0,12902000.0,7513445000.0,2127594000.0,47820000.0,5385851000.0,24125832000.0,6777351000.0,-200.0,934489000.0,362746000.0,595000.0,595000.0,,2945877000.0,1600308000.0,1345569000.0,2533644200.0,-5151629000.0,7685273200.0,78292000.0,4961008000.0,1830639200.0,738764000.0,76570000.0,0.0,17348482000.0,329836000.0,276997000.0,74175000.0,4424907000.0,33632000.0,5700088000.0,-149318000.0,5849406000.0,6838683000.0,1181289000.0,5657394000.0,3507347000.0,2150047000.0,2023-03-31,
,134567359.0,134567359.0,696747000.0,15810343000.0,21075864000.0,12270879000.0,15810343000.0,696747000.0,21075864000.0,21075864000.0,21075864000.0,21075864000.0,20941297000.0,,,134567000.0,134567000.0,10849165000.0,620937000.0,8026000.0,,597381000.0,597381000.0,0.0,15530000.0,10228228000.0,341271000.0,,99366000.0,99366000.0,,83340000.0,6558503000.0,,320786000.0,6237717000.0,31925029000.0,9425922000.0,434574000.0,,405435000.0,416358000.0,416358000.0,16606000.0,5265521000.0,2620006000.0,2645515000.0,2887428000.0,,2887428000.0,16003000.0,2871425000.0,,,,,22499107000.0,508470000.0,,,,,10044802000.0,,,11945835000.0,6724702000.0,5221133000.0,,,2024-09-30 00:00:00,
