Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-637500.0,0.3,-3187948.0,-2125000.0,-2125000.0,-11579679.0,5630059.0,536000.0,-5312948.0,-10943007.0,-442088.0,189088.0,-10092179.0,-11579679.0,7799965.0,,,,,-11579679.0,-11579679.0,0.0,-11579679.0,-11579679.0,0.0,-11579679.0,447584.0,-11132095.0,-1838043.0,6000.0,-442088.0,189088.0,-7799965.0,7263965.0,-5717831.0,5630059.0,5630059.0,-536000.0,536000.0,0.0,0.0,2023-03-31
0.0,0.3,5930369.0,0.0,0.0,170923.0,5627610.0,-9590288.0,5930369.0,302759.0,-303346.0,303346.0,170923.0,170923.0,79366.0,27142800.0,27142800.0,0.01,0.01,170923.0,170923.0,0.0,170923.0,170923.0,0.0,170923.0,-171510.0,-587.0,382126.0,0.0,-303346.0,303346.0,-79366.0,9669654.0,2783236.0,5627610.0,5627610.0,9590288.0,-9590288.0,0.0,0.0,2022-12-31
0.0,0.014857,-5900272.0,0.0,0.0,-10585042.0,4529647.0,57452557.0,-5900272.0,-10429919.0,-314761.0,314761.0,-10585042.0,-10585042.0,71266996.0,27141133.0,27141133.0,-0.39,-0.39,-10585042.0,-10585042.0,0.0,-10585042.0,-10585042.0,0.0,-10585042.0,-159638.0,-10744680.0,671757.0,0.0,-314761.0,314761.0,-11101676.0,13814439.0,6140801.0,4529647.0,4529647.0,2712763.0,57452557.0,60165320.0,60165320.0,2023-09-30 00:00:00
