Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Other Non Operating Income Expenses
0.0,0.2789,5181872000.0,0.0,0.0,3214777000.0,722663000.0,9612063000.0,5181872000.0,4459209000.0,-961000.0,961000.0,3214777000.0,3214777000.0,12445618000.0,2021872327.0,2021872327.0,1.59,1.59,3214777000.0,3214777000.0,0.0,3214777000.0,3214777000.0,3214777000.0,1243471000.0,4458248000.0,0.0,0.0,-961000.0,961000.0,4457606000.0,2833555000.0,1162300000.0,722663000.0,722663000.0,7291161000.0,9612063000.0,16903224000.0,16903224000.0,2023-06-30,
0.0,0.289715,3919495000.0,0.0,0.0,2291491000.0,692347000.0,7663952000.0,3919495000.0,3227148000.0,-990000.0,990000.0,2291491000.0,2291491000.0,10457879000.0,,,,,2291491000.0,2291491000.0,0.0,2291491000.0,2291491000.0,2291491000.0,934667000.0,3226158000.0,0.0,,-990000.0,990000.0,3221359000.0,2793927000.0,1065400000.0,692347000.0,692347000.0,6015286000.0,7663952000.0,13679238000.0,13679238000.0,2023-03-31,
0.0,0.271026,8144805000.0,0.0,0.0,5439274000.0,682199000.0,17482721000.0,8144805000.0,7462606000.0,-1056000.0,1056000.0,5439274000.0,5439274000.0,21176535000.0,2022034944.0,2022034944.0,2.69,2.69,5439274000.0,5439274000.0,0.0,5439274000.0,5439274000.0,5439274000.0,2022276000.0,7461550000.0,0.0,,-1056000.0,1056000.0,7475155000.0,3693814000.0,1749765000.0,682199000.0,682199000.0,11168969000.0,17482721000.0,28651690000.0,28651690000.0,2022-12-31,
0.0,0.271325,5498902000.0,,,3521716000.0,665195000.0,10594875000.0,5498902000.0,4833707000.0,-667000.0,667000.0,3521716000.0,3521716000.0,13299129000.0,2023974713.0,2023974713.0,1.74,1.74,3521716000.0,3521716000.0,0.0,3521716000.0,3521716000.0,3521716000.0,1311324000.0,4833040000.0,,,-667000.0,667000.0,4842271000.0,2704254000.0,1067680000.0,665195000.0,665195000.0,7546525000.0,10594875000.0,18141400000.0,18141400000.0,2023-09-30 00:00:00,-8564000.0
0.0,0.199717,404679000.0,,,-241984000.0,706387000.0,2732649000.0,404679000.0,-301708000.0,-665000.0,665000.0,-241984000.0,-241984000.0,4834402000.0,2016533333.0,2016533333.0,-0.12,-0.12,-241984000.0,-241984000.0,0.0,-241984000.0,-241984000.0,-241984000.0,-60389000.0,-302373000.0,,,-665000.0,665000.0,-302616000.0,2101753000.0,646266000.0,706387000.0,706387000.0,1799137000.0,2732649000.0,4531786000.0,4531786000.0,2023-12-31 00:00:00,
