Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.269074,9099600000.0,0.0,0.0,6278800000.0,163461700000.0,9099600000.0,9099600000.0,-509400000.0,509400000.0,6278800000.0,6278800000.0,168292100000.0,,,,,6278800000.0,6278800000.0,0.0,6278800000.0,6278800000.0,6278800000.0,2311400000.0,8590200000.0,34900000.0,0.0,,-509400000.0,509400000.0,8909700000.0,4830400000.0,3496700000.0,13740100000.0,163461700000.0,177201800000.0,177201800000.0,2024-03-31
0.0,0.248921,5363100000.0,0.0,0.0,3652800000.0,164025300000.0,5363100000.0,5363100000.0,-499700000.0,499700000.0,3652800000.0,3652800000.0,168473700000.0,148911537.0,148911537.0,24.53,24.53,3652800000.0,3652800000.0,0.0,3652800000.0,3652800000.0,3652800000.0,1210600000.0,4863400000.0,24800000.0,0.0,,-499700000.0,499700000.0,5285400000.0,4448400000.0,3125700000.0,9733800000.0,164025300000.0,173759100000.0,173759100000.0,2023-12-31
0.0,0.249449,16578500000.0,0.0,0.0,11954100000.0,143981400000.0,16578500000.0,16578500000.0,-651400000.0,651400000.0,11954100000.0,11954100000.0,148967500000.0,148905082.0,148905082.0,80.28,80.28,11954100000.0,11954100000.0,0.0,11954100000.0,11954100000.0,11954100000.0,3973000000.0,15927100000.0,23500000.0,0.0,,-651400000.0,651400000.0,16478900000.0,4986100000.0,3628500000.0,21465000000.0,143981400000.0,165446400000.0,165446400000.0,2023-09-30
0.0,0.263519,8128500000.0,0.0,0.0,5565000000.0,135102900000.0,8128500000.0,8128500000.0,-572300000.0,572300000.0,5565000000.0,5565000000.0,139412300000.0,148916243.0,148916243.0,37.37,37.37,5565000000.0,5565000000.0,0.0,5565000000.0,5565000000.0,5565000000.0,1991200000.0,7556200000.0,21500000.0,0.0,,-572300000.0,572300000.0,8035700000.0,4309400000.0,2856300000.0,12345100000.0,135102900000.0,147448000000.0,147448000000.0,2023-06-30
5767321.768776,0.274634,14778200000.0,21000000.0,21000000.0,10127700000.0,161075500000.0,14799200000.0,14799200000.0,-774500000.0,837000000.0,10112467321.768776,10127700000.0,159032300000.0,,,,,10127700000.0,10127700000.0,0.0,10127700000.0,10127700000.0,10127700000.0,3834500000.0,13962200000.0,-49400000.0,21000000.0,0.0,-774500000.0,837000000.0,19985000000.0,-2043200000.0,-4802900000.0,17941800000.0,161075500000.0,179017300000.0,179017300000.0,2023-03-31
,,,,,,,,,,,,,,148966942.0,148966942.0,9.68,9.68,,,,,,,,,,,0.0,,,,,,,,,,2022-12-31
0.0,0.262441,5317500000.0,,,3570300000.0,161100000000.0,5317500000.0,5317500000.0,-476800000.0,476800000.0,3570300000.0,3570300000.0,165817700000.0,148886572.0,148886572.0,23.98,23.98,3570300000.0,3570300000.0,0.0,3570300000.0,3570300000.0,3570300000.0,1270400000.0,4840700000.0,41100000.0,,,-476800000.0,476800000.0,5132100000.0,4717700000.0,3647700000.0,9849800000.0,161100000000.0,170949800000.0,170949800000.0,2024-06-30 00:00:00
