Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-69683168.316832,0.227723,4454000000.0,-306000000.0,-306000000.0,2418000000.0,726000000.0,15111000000.0,4148000000.0,3422000000.0,-291000000.0,291000000.0,2654316831.683168,2418000000.0,25220000000.0,,,,,2418000000.0,2418000000.0,0.0,2418000000.0,0.0,2418000000.0,2418000000.0,713000000.0,3131000000.0,1111000000.0,-306000000.0,-3000000.0,,109000000.0,-291000000.0,291000000.0,2617000000.0,10109000000.0,4738000000.0,726000000.0,726000000.0,3294000000.0,3294000000.0,12726000000.0,15111000000.0,27837000000.0,27837000000.0,2024-03-31
0.0,0.237535,5385000000.0,0.0,0.0,3502000000.0,628000000.0,16914000000.0,5385000000.0,4757000000.0,-164000000.0,164000000.0,3502000000.0,3502000000.0,25784000000.0,710344828.0,710344828.0,4.93,4.93,3502000000.0,3502000000.0,0.0,3502000000.0,0.0,3502000000.0,3502000000.0,1091000000.0,4593000000.0,521000000.0,0.0,,,,-164000000.0,164000000.0,4237000000.0,8870000000.0,3526000000.0,628000000.0,628000000.0,3294000000.0,3294000000.0,13107000000.0,16914000000.0,30021000000.0,30021000000.0,2023-12-31
73236310.59246,0.238555,5064000000.0,307000000.0,307000000.0,3393000000.0,653000000.0,16210000000.0,5371000000.0,4718000000.0,-262000000.0,262000000.0,3159236310.59246,3393000000.0,24660000000.0,709832636.0,709832636.0,4.78,4.78,3393000000.0,3393000000.0,0.0,3393000000.0,0.0,3393000000.0,3393000000.0,1063000000.0,4456000000.0,401000000.0,307000000.0,-307000000.0,,0.0,-262000000.0,262000000.0,4014000000.0,8450000000.0,3939000000.0,653000000.0,653000000.0,2419000000.0,2419000000.0,12464000000.0,16210000000.0,28674000000.0,28674000000.0,2023-09-30
-43432394.366197,0.253991,7347000000.0,-171000000.0,-171000000.0,4767000000.0,743000000.0,12245000000.0,7176000000.0,6433000000.0,-43000000.0,43000000.0,4894567605.633803,4767000000.0,20286000000.0,710432191.0,710432191.0,6.71,6.71,4767000000.0,4767000000.0,0.0,4767000000.0,0.0,4767000000.0,4767000000.0,1623000000.0,6390000000.0,217000000.0,-171000000.0,171000000.0,,,-43000000.0,43000000.0,6392000000.0,8041000000.0,4567000000.0,743000000.0,743000000.0,1473000000.0,1473000000.0,14433000000.0,12245000000.0,26678000000.0,26678000000.0,2023-06-30
45165003.837299,0.211051,2137000000.0,214000000.0,214000000.0,1028000000.0,688000000.0,13913000000.0,2351000000.0,1663000000.0,-40000000.0,360000000.0,859165003.837299,1028000000.0,22783000000.0,,,,,1028000000.0,1028000000.0,0.0,1028000000.0,0.0,1028000000.0,1028000000.0,275000000.0,1303000000.0,-537000000.0,23000000.0,274000000.0,0.0,-297000000.0,-40000000.0,360000000.0,1671000000.0,8870000000.0,-5096000000.0,688000000.0,498000000.0,10267000000.0,7793000000.0,10541000000.0,13913000000.0,24454000000.0,24454000000.0,2023-03-31
,,,,,,,,,,,,,,,709271523.0,709271523.0,3.02,3.02,,,,,,,,,,,,,0.0,1487000000.0,,,,,,,,,,,,,,2022-12-31
0.0,0.257274,7470000000.0,0.0,0.0,4850000000.0,720000000.0,13060000000.0,7470000000.0,6750000000.0,-220000000.0,220000000.0,4850000000.0,4850000000.0,21200000000.0,710102489.0,710102489.0,6.83,6.83,4850000000.0,4850000000.0,0.0,4850000000.0,,4850000000.0,4850000000.0,1680000000.0,6530000000.0,350000000.0,0.0,,,,-220000000.0,220000000.0,6410000000.0,8140000000.0,4320000000.0,720000000.0,720000000.0,1750000000.0,1750000000.0,14550000000.0,13060000000.0,27610000000.0,27610000000.0,2024-06-30 00:00:00
