Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.248904,784365000.0,0.0,0.0,462237000.0,163697000.0,3443393000.0,784365000.0,620668000.0,-3775000.0,3775000.0,462237000.0,462237000.0,4962317000.0,,,,,462237000.0,462237000.0,0.0,462237000.0,462237000.0,462237000.0,153547000.0,616893000.0,35089000.0,0.0,-3775000.0,3775000.0,585578000.0,1518924000.0,621472000.0,163697000.0,163697000.0,2104502000.0,3443393000.0,5547895000.0,5547895000.0,2024-03-31
0.0,0.262075,698497000.0,0.0,0.0,405046000.0,145539000.0,2939517000.0,698497000.0,552958000.0,-4057000.0,4057000.0,405046000.0,405046000.0,4330848000.0,26318778.0,26318778.0,15.39,15.39,405046000.0,405046000.0,0.0,405046000.0,405045000.0,405045000.0,143853000.0,548901000.0,49683000.0,0.0,-4057000.0,4057000.0,503275000.0,1391331000.0,553348000.0,145539000.0,145539000.0,1894606000.0,2939517000.0,4834123000.0,4834123000.0,2023-12-31
0.0,0.252968,720341000.0,0.0,0.0,434774000.0,134235000.0,3118575000.0,720341000.0,586106000.0,-4060000.0,4060000.0,434774000.0,434774000.0,4517495000.0,26318039.0,26318039.0,16.52,16.52,434774000.0,434774000.0,0.0,434774000.0,434775000.0,434775000.0,147239000.0,582046000.0,39824000.0,0.0,-4060000.0,4060000.0,546282000.0,1398920000.0,559394000.0,134235000.0,134235000.0,1945202000.0,3118575000.0,5063777000.0,5063777000.0,2023-09-30
0.0,0.26468,643313000.0,0.0,0.0,354994000.0,143050000.0,2925064000.0,643313000.0,500263000.0,-17491000.0,17491000.0,354994000.0,354994000.0,4241871000.0,26315345.0,26315345.0,13.49,13.49,354994000.0,354994000.0,0.0,354994000.0,354994000.0,354994000.0,127780000.0,482772000.0,35076000.0,0.0,-17491000.0,17491000.0,465187000.0,1316807000.0,531877000.0,143050000.0,143050000.0,1781994000.0,2925064000.0,4707058000.0,4707058000.0,2023-06-30
3876865.98346,0.190145,628672000.0,20389000.0,20389000.0,380285000.0,159683000.0,3857086000.0,649061000.0,489378000.0,61254000.0,19242000.0,363772865.98346,380285000.0,3893406000.0,,,,,380285000.0,380285000.0,0.0,380285000.0,380286000.0,380286000.0,89394000.0,470136000.0,-61073000.0,-2743000.0,61254000.0,19242000.0,435037000.0,36320000.0,-1589448000.0,159683000.0,145549000.0,471357000.0,3857086000.0,4328443000.0,4328443000.0,2023-03-31
,,,,,,,,,,,,,,,26314922.0,26314922.0,12.13,12.13,,,,,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.263841,819002000.0,0.0,0.0,488913000.0,151033000.0,3569107000.0,819002000.0,667969000.0,-3842000.0,3842000.0,488913000.0,488913000.0,5101664000.0,26313940.0,26313940.0,18.58,18.58,488913000.0,488913000.0,0.0,488913000.0,488894000.0,488894000.0,175224000.0,664127000.0,33455000.0,0.0,-3842000.0,3842000.0,634514000.0,1532557000.0,597510000.0,151033000.0,151033000.0,2167071000.0,3569107000.0,5736178000.0,5736178000.0,2024-06-30 00:00:00
