Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-2885383.806519,0.02103,622800000.0,-137200000.0,-137200000.0,-190200000.0,254200000.0,301700000.0,485600000.0,231400000.0,-421600000.0,421600000.0,-55885383.806519,-190200000.0,2513800000.0,,,,,-190200000.0,-190200000.0,0.0,-190200000.0,-190200000.0,-186200000.0,-4000000.0,-190200000.0,34600000.0,-137200000.0,137200000.0,-421600000.0,421600000.0,334000000.0,2212100000.0,1837600000.0,254200000.0,254200000.0,6100000.0,6100000.0,2546100000.0,301700000.0,2847800000.0,2847800000.0,2024-03-31
-176640000.0,0.3,-217700000.0,-588800000.0,-588800000.0,-2015500000.0,308100000.0,391900000.0,-806500000.0,-1114600000.0,-898900000.0,898900000.0,-1603340000.0,-2015500000.0,2423200000.0,258397436.0,258397436.0,-7.8,-7.8,-2015500000.0,-2015500000.0,0.0,-2015500000.0,-2015500000.0,-2015500000.0,2000000.0,-2013500000.0,10100000.0,-588800000.0,588800000.0,-898900000.0,898900000.0,-535900000.0,2031300000.0,1131300000.0,308100000.0,308100000.0,376100000.0,376100000.0,1495400000.0,391900000.0,1887300000.0,1887300000.0,2023-12-31
0.0,0.0,-232300000.0,900700000.0,900700000.0,-388100000.0,272300000.0,229500000.0,668400000.0,396100000.0,-784200000.0,784200000.0,-1288800000.0,-388100000.0,2353900000.0,258733333.0,258733333.0,-1.5,-1.5,-388100000.0,-388100000.0,0.0,-388100000.0,-388100000.0,-388100000.0,0.0,-388100000.0,46200000.0,900700000.0,,-784200000.0,784200000.0,-550800000.0,2124400000.0,1201900000.0,272300000.0,272300000.0,490300000.0,490300000.0,1573600000.0,229500000.0,1803100000.0,1803100000.0,2023-09-30
0.0,0.0,-927300000.0,0.0,0.0,-1894300000.0,235800000.0,715600000.0,-927300000.0,-1163100000.0,-731200000.0,731200000.0,-1894300000.0,-1894300000.0,2861700000.0,258431105.0,258431105.0,-7.33,-7.33,-1894300000.0,-1894300000.0,0.0,-1894300000.0,-1894300000.0,-1894300000.0,0.0,-1894300000.0,35100000.0,0.0,,-731200000.0,731200000.0,-1198200000.0,2146100000.0,1294300000.0,235800000.0,235800000.0,468700000.0,468700000.0,947900000.0,715600000.0,1663500000.0,1663500000.0,2023-06-30
0.0,0.0,-232800000.0,,,-1045600000.0,231200000.0,505500000.0,-232800000.0,-464000000.0,-683000000.0,581600000.0,-1045600000.0,-1045600000.0,2600200000.0,,,,,-1045600000.0,-1045600000.0,0.0,-1045600000.0,-1045600000.0,-1045600000.0,0.0,-1045600000.0,-5000000.0,,,-683000000.0,581600000.0,-351800000.0,2094700000.0,758500000.0,231200000.0,231200000.0,961000000.0,627900000.0,1742900000.0,505500000.0,2248400000.0,2248400000.0,2023-03-31
,,,0.0,0.0,,,,,,,,,,,251221640.0,251221640.0,-5.73,-5.73,,,,,,,,,,0.0,,,,,,,,,,,,,,,2022-12-31
0.0,0.0,24100000.0,0.0,0.0,-888600000.0,430900000.0,293500000.0,24100000.0,-406800000.0,-481400000.0,481400000.0,-888600000.0,-888600000.0,2711200000.0,258326000.0,258326000.0,-3.43984,-3.43984,-888600000.0,-888600000.0,0.0,-888600000.0,-888200000.0,-888200000.0,0.0,-888200000.0,75600000.0,0.0,,-481400000.0,481400000.0,-482400000.0,2417700000.0,1756800000.0,430900000.0,430900000.0,101300000.0,101300000.0,1935300000.0,293500000.0,2228800000.0,2228800000.0,2024-06-30 00:00:00
