Preferred Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Other Payable,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Properties,Prepaid Assets,Receivables,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number,Investmentsin Subsidiariesat Cost,Cash Cash Equivalents And Federal Funds Sold
,1987920898.0,1987920898.0,98992200000.0,751056100000.0,1290239300000.0,2050773000000.0,1290239300000.0,1299716900000.0,,2050773000000.0,1299716900000.0,1299716900000.0,792900000.0,,,9939600000.0,9939600000.0,,6376952700000.0,751056100000.0,,,,7676669600000.0,2464457200000.0,2464457200000.0,,,,,9477600000.0,9477600000.0,25625100000.0,,,,,,,652063900000.0,,362867400000.0,2024-03-31,,,
,1987288535.0,1987288535.0,110416900000.0,615241600000.0,1200016000000.0,1823395100000.0,1200016000000.0,1208153500000.0,,1823395100000.0,1208153500000.0,1208153500000.0,784800000.0,,,14937500000.0,14937500000.0,,5571872200000.0,615241600000.0,,,,6780025700000.0,2084832600000.0,2084832600000.0,,,,,8137500000.0,8137500000.0,23827200000.0,,,,,,,504824700000.0,,297043200000.0,2023-09-30,,,
1000000000.0,1986556582.0,1986556582.0,48634633000.0,523339234000.0,1110006453000.0,1641483217000.0,1115006453000.0,1118143983000.0,5000000000.0,1646483217000.0,1123143983000.0,1123143983000.0,603058000.0,635331703000.0,253633988000.0,14932783000.0,9932783000.0,5000000000.0,5081153365000.0,523339234000.0,46439390000.0,30880205000.0,15559185000.0,6204297348000.0,1953379702000.0,1938207768000.0,146347053000.0,15171934000.0,651084000.0,14520850000.0,8137530000.0,8137530000.0,22612045000.0,-33220968000.0,55833013000.0,44508544000.0,11324469000.0,1066886000.0,109368201000.0,474704601000.0,1500000000.0,19020194000.0,2023-03-31,,,
