Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-9502360000.0,0.4,8195100000.0,-23755900000.0,-23755900000.0,-18932000000.0,499100000.0,14856700000.0,-15560800000.0,-16059900000.0,-784700000.0,784700000.0,-4678460000.0,-18932000000.0,26553400000.0,,,,,-18932000000.0,-18932000000.0,0.0,-18932000000.0,0.0,-18932000000.0,-18932000000.0,2087400000.0,-16844600000.0,638500000.0,-23755900000.0,,575900000.0,-784700000.0,784700000.0,7097700000.0,11696700000.0,5095700000.0,499100000.0,499100000.0,3062900000.0,3062900000.0,18794400000.0,14856700000.0,33651100000.0,33651100000.0,2024-03-31
-17798404.472582,0.258322,9108000000.0,-68900000.0,-68900000.0,5810600000.0,538800000.0,16142600000.0,9039100000.0,8500300000.0,-665900000.0,665900000.0,5861701595.527418,5810600000.0,27719600000.0,1022992958.0,1022992958.0,5.68,5.68,5810600000.0,5810600000.0,0.0,5810600000.0,0.0,5810600000.0,5810600000.0,2023800000.0,7834400000.0,700800000.0,-68900000.0,,,-665900000.0,665900000.0,8508400000.0,11577000000.0,5213100000.0,538800000.0,538800000.0,3432700000.0,3432700000.0,20085400000.0,16142600000.0,36228000000.0,36228000000.0,2023-12-31
-37779743.933352,0.301274,7701000000.0,-125400000.0,-125400000.0,4327700000.0,608800000.0,16249000000.0,7575600000.0,6966800000.0,-773100000.0,773100000.0,4415320256.066648,4327700000.0,29058500000.0,1023096927.0,1023096927.0,4.23,4.23,4327700000.0,4327700000.0,0.0,4327700000.0,0.0,4327700000.0,4327700000.0,1866000000.0,6193700000.0,659300000.0,-125400000.0,125400000.0,,-773100000.0,773100000.0,6625100000.0,12809500000.0,5521400000.0,608800000.0,608800000.0,3659400000.0,3659400000.0,19434600000.0,16249000000.0,35683600000.0,35683600000.0,2023-09-30
-274474593.648412,0.335626,7119500000.0,-817800000.0,-817800000.0,3188200000.0,762900000.0,15954700000.0,6301700000.0,5538800000.0,-740000000.0,740000000.0,3731525406.351588,3188200000.0,28123200000.0,1021858974.0,1021858974.0,3.12,3.12,3188200000.0,3188200000.0,0.0,3188200000.0,0.0,3188200000.0,3188200000.0,1610600000.0,4798800000.0,691100000.0,-817800000.0,,817800000.0,-740000000.0,740000000.0,6055400000.0,12168500000.0,5372400000.0,762900000.0,762900000.0,3203900000.0,3203900000.0,18223900000.0,15954700000.0,34178600000.0,34178600000.0,2023-06-30
51451468.020378,0.186081,6341600000.0,276500000.0,276500000.0,4521400000.0,685900000.0,18485000000.0,6618100000.0,5932200000.0,307900000.0,377100000.0,4296351468.020378,4521400000.0,26751300000.0,,,,,4521400000.0,4521400000.0,0.0,4521400000.0,0.0,4521400000.0,4521400000.0,1033700000.0,5555100000.0,-933900000.0,-263300000.0,,,307900000.0,377100000.0,6143600000.0,8266300000.0,-4550700000.0,685900000.0,386600000.0,7624500000.0,6301700000.0,14409900000.0,18485000000.0,32894900000.0,32894900000.0,2023-03-31
,,,,,,,,,,,,,,,1023108614.0,1023108614.0,5.34,5.34,,,,,,,,,,,,74400000.0,,,,,,,,,,,,,,,2022-12-31
-60941291.554741,0.300203,8015400000.0,-203000000.0,-203000000.0,4506900000.0,494600000.0,14707700000.0,7812400000.0,7317800000.0,-877500000.0,877500000.0,4648958708.445259,4506900000.0,26340200000.0,1024295455.0,1021972789.0,4.4,4.41,4506900000.0,4506900000.0,0.0,4506900000.0,0.0,4506900000.0,4506900000.0,1933400000.0,6440300000.0,771100000.0,-203000000.0,,203000000.0,-877500000.0,877500000.0,6767600000.0,11632500000.0,5241900000.0,494600000.0,494600000.0,3308200000.0,3308200000.0,18400100000.0,14707700000.0,33107800000.0,33107800000.0,2024-06-30 00:00:00
