Ordinary Shares Number,Share Issued,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Derivative Product Liabilities,Long Term Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Financial Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Subsidiariesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Prepaid Assets,Receivables Adjustments Allowances,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date
1001465465.0,1001465465.0,149085600000.0,149085600000.0,149085600000.0,149085600000.0,149085600000.0,149085600000.0,149085600000.0,1500000.0,,,10014700000.0,10014700000.0,3833902500000.0,,3206100000.0,,,,,3982988100000.0,,1695800000000.0,1695800000000.0,1695800000000.0,,,,,,,5569600000.0,,,,,,,,70169000000.0,,,,,47458900000.0,,47458900000.0,2024-03-31
1001240203.0,1001240203.0,144270500000.0,144270500000.0,144270500000.0,144270500000.0,144270500000.0,144270500000.0,144270500000.0,,,,10012400000.0,10012400000.0,3667934600000.0,,3487100000.0,,,,,3812205100000.0,,1628932800000.0,1628932800000.0,1628932800000.0,,,,,,,5526000000.0,,,,,,,,71923100000.0,,,,,50813100000.0,,50813100000.0,2023-12-31
1001090309.0,1001090309.0,139689200000.0,139689200000.0,139689200000.0,139689200000.0,139689200000.0,139689200000.0,139689200000.0,,,,10010900000.0,10010900000.0,3384529400000.0,,3668900000.0,,,,,3524218600000.0,,1568530100000.0,1568530100000.0,1568530100000.0,,,,,,,5424200000.0,,,,,,,,58499200000.0,,,,,34983300000.0,,34983300000.0,2023-09-30
1000965645.0,1000965645.0,135359200000.0,135359200000.0,135359200000.0,135359200000.0,135359200000.0,135359200000.0,135359200000.0,,,,10009700000.0,10009700000.0,3212076300000.0,,4005200000.0,,,,,3347435500000.0,,1491751700000.0,1491751700000.0,1491751700000.0,,,,,,,5289300000.0,,,,,,,,52995900000.0,,,,,32482300000.0,,32482300000.0,2023-06-30
1000894759.0,1000894759.0,130040098000.0,130174821000.0,130040098000.0,130174821000.0,130174821000.0,130174821000.0,130174821000.0,,118644349000.0,575263000.0,10008948000.0,10008948000.0,3016687136000.0,2286679000.0,3681399000.0,28881206000.0,3402645000.0,3354652000.0,22123909000.0,3146861957000.0,1612065000.0,1130153816000.0,1122631815000.0,225514707000.0,0.0,0.0,244278196000.0,134723000.0,134723000.0,0.0,5080405000.0,-4546682000.0,9627087000.0,10667000.0,2495000.0,4205202000.0,3646201000.0,1762522000.0,916048000.0,-550000.0,38827431000.0,1725418000.0,3821521000.0,23434242000.0,7522001000.0,15912241000.0,2023-03-31
1001576855.0,1001576855.0,155715100000.0,155715100000.0,155715100000.0,155715100000.0,155715100000.0,155715100000.0,155715100000.0,5000000.0,,,10015800000.0,10015800000.0,4070960100000.0,,4103700000.0,,,,,4226675200000.0,,1798514600000.0,1798514600000.0,1798514600000.0,,,,,,,5571800000.0,,,,,,,,,,,,,33150500000.0,,33150500000.0,2024-06-30 00:00:00
