Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
,152786400.0,152786400.0,10989420000.0,13897190000.0,13832450000.0,27064150000.0,-4636470000.0,13832450000.0,1803410000.0,14970370000.0,21487610000.0,15261830000.0,291460000.0,14970370000.0,14817580000.0,,,152790000.0,152790000.0,30342900000.0,8755500000.0,13110000.0,,254240000.0,306550000.0,8001070000.0,1483830000.0,6517240000.0,162640000.0,21587400000.0,1517520000.0,5896120000.0,319580000.0,5576540000.0,302080000.0,12260350000.0,,,23240000.0,12237110000.0,45604730000.0,28653800000.0,650300000.0,,1967250000.0,336040000.0,336040000.0,,4201030000.0,,,1137920000.0,667040000.0,470880000.0,19928180000.0,,19928180000.0,763520000.0,19164660000.0,,,,,16950930000.0,2749540000.0,,,,6744420000.0,,,,,180000.0,4918430000.0,,,2538360000.0,1434000000.0,1104360000.0,,,2024-03-31
0.0,152786400.0,152786400.0,10582680000.0,14423910000.0,9105160000.0,22949660000.0,-7421310000.0,9105160000.0,1819670000.0,10345420000.0,15593260000.0,10658390000.0,312970000.0,10345420000.0,10192630000.0,,,152790000.0,152790000.0,32830430000.0,8681010000.0,28230000.0,,314800000.0,1189280000.0,6848600000.0,1600760000.0,5247840000.0,283770000.0,24149420000.0,1385090000.0,7575310000.0,218910000.0,7356400000.0,283090000.0,13151570000.0,,,30620000.0,13120950000.0,43488820000.0,26760710000.0,651670000.0,,72580000.0,304950000.0,304950000.0,,3854210000.0,,,1240260000.0,771580000.0,468680000.0,20184440000.0,,20184440000.0,788240000.0,19396200000.0,,,,,16728110000.0,1685730000.0,,,,6881250000.0,,,,,220000.0,5453850000.0,,,2707060000.0,685500000.0,2021560000.0,,,2023-09-30
,152786400.0,152786400.0,13326850000.0,18061140000.0,8427900000.0,26111970000.0,-10980480000.0,8427900000.0,1711160000.0,9761990000.0,13923370000.0,10041520000.0,279530000.0,9761990000.0,10000.0,-13594090000.0,13035330000.0,152790000.0,152790000.0,36167500000.0,7424290000.0,44780000.0,6160000.0,309660000.0,1169280000.0,5646990000.0,1485610000.0,4161380000.0,278930000.0,28743210000.0,1381360000.0,12414150000.0,225550000.0,12188600000.0,299510000.0,15161340000.0,3103470000.0,40000.0,92940000.0,11964890000.0,46209020000.0,28446290000.0,58400000.0,395620000.0,70130000.0,17090000.0,16950000.0,140000.0,3906200000.0,3906200000.0,0.0,1334090000.0,864800000.0,469290000.0,20525690000.0,-17187940000.0,37713630000.0,1209400000.0,1702160000.0,25229690000.0,8904090000.0,668290000.0,0.0,17762730000.0,118740000.0,1700000.0,0.0,1058380000.0,6710040000.0,205030000.0,2094300000.0,1030550000.0,3380160000.0,331370000.0,5971000000.0,-79870000.0,6050870000.0,3571500000.0,548370000.0,3023130000.0,2122750000.0,900380000.0,2023-03-31
