Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
17177400.0,17177400.0,646429000.0,660118000.0,1018143000.0,1678412000.0,532145000.0,1018143000.0,1018294000.0,1678412000.0,1018294000.0,1018294000.0,846520000.0,,,171774000.0,171774000.0,1112089000.0,869535000.0,,,,206917000.0,660118000.0,660118000.0,242554000.0,59406000.0,,0.0,0.0,131694000.0,,,,131694000.0,2130383000.0,1355684000.0,53931000.0,,84660000.0,84660000.0,,151000.0,151000.0,1216942000.0,,1216942000.0,,1216942000.0,,,,,774699000.0,36412000.0,,31558000.0,,,,,,236741000.0,,,469988000.0,456299000.0,13689000.0,,2023-09-30
17177400.0,17177400.0,633949000.0,645160000.0,1049255000.0,1694587000.0,531464000.0,1049255000.0,1049427000.0,1677248000.0,1049427000.0,1049427000.0,1394000.0,203199000.0,24800000.0,171774000.0,171774000.0,988690000.0,837241000.0,-1000.0,2504000.0,0.0,206917000.0,627821000.0,627821000.0,151449000.0,-16923000.0,0.0,17339000.0,17339000.0,151033000.0,109951000.0,624000.0,0.0,40458000.0,2038117000.0,1355205000.0,2000.0,3328000.0,82506000.0,85834000.0,82506000.0,172000.0,172000.0,1215267000.0,-572751000.0,1788018000.0,0.0,1215289000.0,564667000.0,416717000.0,806634000.0,0.0,682913000.0,1000.0,32473000.0,25436000.0,1100000.0,2941000.0,21395000.0,416830000.0,5258000.0,191704000.0,0.0,191704000.0,11211000.0,416830000.0,11211000.0,11211000.0,2023-03-31
