Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Other Special Charges,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,Total Revenue,Operating Revenue,Date,Net Policyholder Benefits And Claims
0.0,0.249895,0.0,0.0,1423100000.0,1423100000.0,1423100000.0,34988400000.0,,,,,1423100000.0,1423100000.0,1423100000.0,1423100000.0,1423100000.0,474100000.0,1897200000.0,0.0,0.0,0.0,124600000.0,425300000.0,425300000.0,36885600000.0,36885600000.0,2024-03-31,
0.0,0.253102,0.0,0.0,2895500000.0,2895500000.0,2895500000.0,31906800000.0,595781893.0,584949495.0,4.86,4.95,2895500000.0,2895500000.0,2895500000.0,2895500000.0,2895500000.0,981200000.0,3876700000.0,0.0,0.0,0.0,112900000.0,549900000.0,549900000.0,35783500000.0,35783500000.0,2023-12-31,
0.0,0.251073,0.0,0.0,2878500000.0,2878500000.0,2878500000.0,29093800000.0,581983308.0,581983308.0,4.946018,4.946018,2878500000.0,2878500000.0,2878500000.0,2878500000.0,2878500000.0,965000000.0,3843500000.0,0.0,0.0,0.0,110600000.0,524800000.0,524800000.0,32937300000.0,32937300000.0,2023-06-30,
0.0,0.251838,0.0,0.0,1017700000.0,1017700000.0,1017700000.0,29946700000.0,,,,,1017700000.0,1017700000.0,1017700000.0,1017800000.0,1017800000.0,342600000.0,1360400000.0,0.0,0.0,0.0,173200000.0,520100000.0,520100000.0,31307000000.0,31307000000.0,2023-03-31,
0.0,0.252946,0.0,0.0,2104700000.0,2104700000.0,2104700000.0,27909200000.0,594548023.0,579807163.0,3.54,3.63,2104700000.0,2104700000.0,2104700000.0,2104600000.0,2104600000.0,712600000.0,2817200000.0,0.0,0.0,0.0,489200000.0,136100000.0,136100000.0,30726400000.0,30726400000.0,2022-12-31,
0.0,0.251637,0.0,0.0,3189300000.0,3189300000.0,3189300000.0,33894900000.0,595018657.0,585192661.0,5.36,5.45,3189300000.0,3189300000.0,3189300000.0,3189300000.0,3189300000.0,1072400000.0,4261700000.0,0.0,0.0,0.0,95400000.0,548300000.0,548300000.0,38156600000.0,38156600000.0,2024-06-30 00:00:00,
