Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,28054303.0,28054303.0,297579259.36,313523075.33,1327733738.35,1641256813.68,1143501005.31,1327733738.35,1327733738.35,1359977504.35,1327733738.35,1327733738.35,1047190708.35,,,280543030.0,280543030.0,1722187483.52,39737559.45,,7493793.45,32243766.0,32243766.0,1682449924.07,54063853.46,,281279309.33,281279309.33,44379250.14,1302680247.94,,,13250000.0,1289430247.94,3049921221.87,223970292.49,,,70328891.85,70328891.85,146591284.64,,,,,,,,2825950929.38,450374135.4,,346757336.0,,,,155141688.0,,1844776845.01,28900924.97,12957109.0,15943815.97,,2024-03-31
0.0,25384684.0,25384684.0,362068000.0,373742000.0,1189233000.0,1562975000.0,1081254000.0,1189233000.0,1189233000.0,1227272000.0,1189233000.0,1189233000.0,935386000.0,,,253847000.0,253847000.0,1150696000.0,52190000.0,,14151000.0,38039000.0,38039000.0,1098506000.0,98453000.0,,335703000.0,335703000.0,53335000.0,610968000.0,,,0.0,610968000.0,2339929000.0,160169000.0,1000.0,,4000000.0,4000000.0,132337000.0,,,,,,,,2179760000.0,488779000.0,,223729000.0,,,,297345000.0,,1095351000.0,74556000.0,62882000.0,11674000.0,,2023-09-30
,25384684.0,25384684.0,370123000.0,377181000.0,1174084000.0,1551265000.0,1024650000.0,1174084000.0,1174084000.0,1217690000.0,1174084000.0,1174084000.0,23150000.0,484245000.0,410842000.0,253847000.0,253847000.0,1739161000.0,57753000.0,-4000.0,14151000.0,43606000.0,43606000.0,1681408000.0,21686000.0,34919000.0,333575000.0,333575000.0,34919000.0,1279141000.0,141000.0,47000.0,5638000.0,1273315000.0,2913245000.0,207187000.0,,55954000.0,4084000.0,4084000.0,139368000.0,-192255000.0,331623000.0,1957000.0,286758000.0,39115000.0,3793000.0,0.0,2706058000.0,14585000.0,388229000.0,288191000.0,199701000.0,17472000.0,71018000.0,90124000.0,15894000.0,1897797000.0,11238000.0,4180000.0,7058000.0,7058000.0,2023-03-31
