Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Non Current Accrued Expenses,Investmentsin Joint Venturesat Cost,Investment Properties
98134446.0,98134446.0,13247000000.0,83035000000.0,14427000000.0,90412000000.0,-13564000000.0,14427000000.0,65858000000.0,73235000000.0,83709000000.0,73232000000.0,-3000000.0,73235000000.0,72254000000.0,,,981000000.0,981000000.0,94972000000.0,71469000000.0,96000000.0,,27000000.0,70539000000.0,60065000000.0,10474000000.0,141000000.0,23503000000.0,1909000000.0,12496000000.0,5793000000.0,6703000000.0,459000000.0,6511000000.0,,,6511000000.0,168204000000.0,158265000000.0,1066000000.0,,4908000000.0,4306000000.0,4306000000.0,,58808000000.0,1377000000.0,57431000000.0,88437000000.0,,88437000000.0,2464000000.0,85973000000.0,,,,,9939000000.0,2137000000.0,,,725000000.0,,,20000000.0,2346000000.0,,,4711000000.0,781000000.0,3930000000.0,,,2024-03-31,,,
98121780.0,98121780.0,11102000000.0,81554000000.0,15481000000.0,91195000000.0,-11552000000.0,15481000000.0,64706000000.0,74347000000.0,85937000000.0,74343000000.0,-4000000.0,74347000000.0,73366000000.0,,,981000000.0,981000000.0,95770000000.0,72375000000.0,231000000.0,,32000000.0,70747000000.0,59157000000.0,11590000000.0,223000000.0,23395000000.0,2797000000.0,10807000000.0,5549000000.0,5258000000.0,418000000.0,7343000000.0,,,7343000000.0,170113000000.0,158270000000.0,6562000000.0,,4478000000.0,,,0.0,58866000000.0,1435000000.0,57431000000.0,87485000000.0,,87485000000.0,2479000000.0,85006000000.0,,,,,11843000000.0,2586000000.0,,,839000000.0,,,21000000.0,2501000000.0,,,5896000000.0,150000000.0,5746000000.0,,,2023-09-30,,,
97967314.0,97967314.0,14595600000.0,80519100000.0,14390100000.0,91224900000.0,-12015200000.0,14390100000.0,62592700000.0,73298500000.0,86021300000.0,73291800000.0,-6700000.0,73298500000.0,234100000.0,-14275500000.0,85841900000.0,979700000.0,979700000.0,91472500000.0,70959400000.0,,0.0,31900000.0,70563300000.0,57840500000.0,12722800000.0,275900000.0,20513100000.0,2015800000.0,9955800000.0,4752200000.0,5203600000.0,354700000.0,8307500000.0,3163200000.0,1000000.0,5143300000.0,164764300000.0,156266400000.0,-100000.0,1652500000.0,4767200000.0,4352800000.0,4352800000.0,0.0,58908400000.0,1480400000.0,57428000000.0,85650600000.0,-27538400000.0,113189000000.0,2473400000.0,83177100000.0,24102900000.0,85226900000.0,1385800000.0,0.0,8497900000.0,2292900000.0,232500000.0,1102100000.0,663700000.0,458200000.0,205500000.0,1287300000.0,1824800000.0,-380200000.0,2205000000.0,3387500000.0,56700000.0,3330800000.0,2266100000.0,1064700000.0,2023-03-31,,,
98190296.0,98190296.0,12268000000.0,83300000000.0,12643000000.0,88594000000.0,-13784000000.0,12643000000.0,66087000000.0,71381000000.0,81976000000.0,71401000000.0,20000000.0,71381000000.0,70399000000.0,,,982000000.0,982000000.0,97121000000.0,72279000000.0,120000000.0,,26000000.0,70753000000.0,60158000000.0,10595000000.0,162000000.0,24842000000.0,4573000000.0,12547000000.0,5929000000.0,6618000000.0,458000000.0,6049000000.0,,,6049000000.0,168522000000.0,157464000000.0,904000000.0,,5536000000.0,4192000000.0,4192000000.0,0.0,58738000000.0,1307000000.0,57431000000.0,86686000000.0,,86686000000.0,943000000.0,85743000000.0,,,,,11058000000.0,2122000000.0,,,824000000.0,,,17000000.0,1799000000.0,,,6296000000.0,1351000000.0,4945000000.0,,,2024-09-30 00:00:00,,0.0,147000000.0
