Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,,711814000.0,1149145000.0,1993355000.0,3142500000.0,2477126000.0,1993355000.0,,1993355000.0,2223167000.0,1993355000.0,1993355000.0,,,,132624000.0,132624000.0,3482132000.0,1324665000.0,1068638000.0,7662000.0,229812000.0,,229812000.0,18553000.0,2157467000.0,165706000.0,,919333000.0,,919333000.0,,1072428000.0,,108044000.0,964384000.0,5475487000.0,840893000.0,121707000.0,,0.0,0.0,0.0,719186000.0,,719186000.0,0.0,719186000.0,,,,4634593000.0,157984000.0,,2819614000.0,,540462000.0,0.0,679202000.0,437331000.0,437331000.0,,2024-03-31
,,1010764000.0,1190048000.0,1645326000.0,2835374000.0,2147109000.0,1645326000.0,,1645326000.0,1910071000.0,1645326000.0,1645326000.0,1527202000.0,,,118124000.0,118124000.0,3880689000.0,1255219000.0,972232000.0,8593000.0,264745000.0,,264745000.0,9649000.0,2625470000.0,92807000.0,,925303000.0,,925303000.0,82432000.0,1524928000.0,,0.0,1524928000.0,5526015000.0,753436000.0,101161000.0,,,0.0,0.0,652275000.0,,652275000.0,0.0,652275000.0,,,,4772579000.0,204886000.0,,2798051000.0,,467200000.0,0.0,1123158000.0,179284000.0,179284000.0,,2023-09-30
103123900.0,103123900.0,1131575000.0,1244028000.0,1129005000.0,2373033000.0,1790809000.0,1129005000.0,0.0,1129005000.0,1409238000.0,1129005000.0,1129005000.0,,475746000.0,550135000.0,103124000.0,103124000.0,3225905000.0,1394791000.0,1096316000.0,8593000.0,280233000.0,0.0,280233000.0,9649000.0,1831114000.0,389000.0,36737000.0,963795000.0,0.0,963795000.0,36737000.0,830193000.0,11846000.0,0.0,818347000.0,4354910000.0,732987000.0,80634000.0,80634000.0,0.0,0.0,0.0,652353000.0,-252357000.0,904710000.0,0.0,652353000.0,673708000.0,231002000.0,0.0,3621923000.0,168255000.0,171807000.0,2690509000.0,2690509000.0,47782000.0,0.0,431117000.0,112453000.0,112453000.0,112453000.0,2023-03-31
