Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.223549,1251700000.0,,,567000000.0,220900000.0,3626700000.0,1251700000.0,1030800000.0,-210400000.0,210400000.0,567000000.0,567000000.0,6159500000.0,186513158.0,186513158.0,3.04,3.04,567000000.0,567000000.0,0.0,567000000.0,-70000000.0,637000000.0,637000000.0,183400000.0,820400000.0,230800000.0,,,-210400000.0,210400000.0,800000000.0,2532800000.0,1283300000.0,220900000.0,220900000.0,3332800000.0,3626700000.0,6959500000.0,6959500000.0,2023-09-30
0.0,0.242339,1244800000.0,0.0,0.0,474800000.0,216100000.0,3560600000.0,1244800000.0,1028700000.0,-209600000.0,209600000.0,474800000.0,474800000.0,6050600000.0,186929134.0,186929134.0,2.54,2.54,474800000.0,474800000.0,0.0,474800000.0,-145800000.0,620600000.0,620600000.0,198500000.0,819100000.0,72800000.0,0.0,0.0,-209600000.0,209600000.0,955900000.0,2490000000.0,1259200000.0,216100000.0,216100000.0,3445900000.0,3560600000.0,7006500000.0,7006500000.0,2023-06-30
0.0,0.072276,1187700000.0,0.0,0.0,488000000.0,229100000.0,3928700000.0,1187700000.0,958600000.0,-200400000.0,200400000.0,488000000.0,488000000.0,6402000000.0,,,,,488000000.0,488000000.0,0.0,488000000.0,-195400000.0,703400000.0,703400000.0,54800000.0,758200000.0,130500000.0,0.0,,-200400000.0,200400000.0,828100000.0,2473300000.0,1151000000.0,229100000.0,229100000.0,3301400000.0,3928700000.0,7230100000.0,7230100000.0,2023-03-31
-2127189.9089,0.32726,1009300000.0,-6500000.0,-6500000.0,266300000.0,219200000.0,4232300000.0,1002800000.0,783600000.0,-212800000.0,212800000.0,270672810.0911,266300000.0,6757500000.0,186223776.0,186223776.0,1.43,1.43,266300000.0,266300000.0,0.0,266300000.0,-117700000.0,384000000.0,384000000.0,186800000.0,570800000.0,81000000.0,-6500000.0,6500000.0,-212800000.0,212800000.0,709100000.0,2525200000.0,1261500000.0,219200000.0,219200000.0,3234300000.0,4232300000.0,7466600000.0,7466600000.0,2022-12-31
