Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.33805,229421000.0,0.0,0.0,104187000.0,54225000.0,1349531000.0,229421000.0,175196000.0,-17802000.0,17802000.0,104187000.0,104187000.0,1995931000.0,,,,,104187000.0,104187000.0,0.0,104187000.0,104187000.0,104187000.0,53207000.0,157394000.0,3898000.0,0.0,0.0,-17802000.0,17802000.0,171298000.0,646400000.0,366891000.0,54225000.0,54225000.0,817698000.0,1349531000.0,2167229000.0,2167229000.0,2024-03-31
0.0,0.234415,126480000.0,,,55681000.0,45603000.0,935671000.0,126480000.0,80877000.0,-8147000.0,8147000.0,55681000.0,55681000.0,1595105000.0,99430357.0,99430357.0,0.56,0.56,55681000.0,55681000.0,0.0,55681000.0,55681000.0,55681000.0,17049000.0,72730000.0,1263000.0,,,-8147000.0,8147000.0,79614000.0,659434000.0,386302000.0,45603000.0,45603000.0,739048000.0,935671000.0,1674719000.0,1674719000.0,2023-12-31
0.0,0.246602,174979000.0,,,94776000.0,44390000.0,1174187000.0,174979000.0,130589000.0,-4791000.0,4791000.0,94776000.0,94776000.0,1814973000.0,100825532.0,100825532.0,0.94,0.94,94776000.0,94776000.0,0.0,94776000.0,94776000.0,94776000.0,31022000.0,125798000.0,1975000.0,,,-4791000.0,4791000.0,128584000.0,640786000.0,354356000.0,44390000.0,44390000.0,769370000.0,1174187000.0,1943557000.0,1943557000.0,2023-09-30
0.0,0.248159,168513000.0,,,87606000.0,42359000.0,1664450000.0,168513000.0,126154000.0,-13082000.0,9632000.0,87606000.0,87606000.0,2026038000.0,,,,,87606000.0,87606000.0,0.0,87606000.0,87606000.0,87606000.0,28916000.0,116522000.0,1634000.0,,,-13082000.0,9632000.0,132342000.0,361588000.0,-286914000.0,42359000.0,42359000.0,493930000.0,1664450000.0,2158380000.0,2158380000.0,2023-03-31
0.0,0.363704,106452000.0,,,35023000.0,41447000.0,1060032000.0,106452000.0,65005000.0,-9963000.0,9963000.0,35023000.0,35023000.0,1673139000.0,100065714.0,100065714.0,0.35,0.35,35023000.0,35023000.0,0.0,35023000.0,35023000.0,35023000.0,20019000.0,55042000.0,17146000.0,,,-9963000.0,9963000.0,47859000.0,613107000.0,357764000.0,41447000.0,41447000.0,660966000.0,1060032000.0,1720998000.0,1720998000.0,2022-12-31
0.0,0.25099,286371000.0,,,162401000.0,53545000.0,1387701000.0,286371000.0,232826000.0,-16005000.0,16005000.0,162401000.0,162401000.0,2061954000.0,100247531.0,100247531.0,1.62,1.62,162401000.0,162401000.0,0.0,162401000.0,162401000.0,162401000.0,54420000.0,216821000.0,8567000.0,,,-16005000.0,16005000.0,224259000.0,674253000.0,380244000.0,53545000.0,53545000.0,898512000.0,1387701000.0,2286213000.0,2286213000.0,2024-06-30 00:00:00
10466361.112395,0.227931,245879000.0,45919000.0,45919000.0,183676000.0,42404000.0,1476046000.0,291798000.0,249394000.0,-11493000.0,11493000.0,148223361.112395,183676000.0,2152841000.0,100369399.0,100369399.0,1.83,1.83,183676000.0,183676000.0,0.0,183676000.0,183676000.0,183676000.0,54225000.0,237901000.0,3704000.0,45919000.0,-45919000.0,-11493000.0,11493000.0,199771000.0,676795000.0,405250000.0,42404000.0,42404000.0,876566000.0,1476046000.0,2352612000.0,2352612000.0,2023-06-30 00:00:00
