Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,103665632.0,103665632.0,42800000.0,46458000.0,24608916000.0,24662020000.0,7715472000.0,24608916000.0,24615562000.0,24615562000.0,24615562000.0,24615562000.0,24511896000.0,,,103666000.0,103666000.0,3782355000.0,1599079000.0,169809000.0,1335060000.0,0.0,0.0,2183276000.0,833262000.0,46458000.0,46458000.0,,77492000.0,1100416000.0,,92583000.0,1007833000.0,28397917000.0,18499189000.0,709552000.0,,411010000.0,411010000.0,,6646000.0,6646000.0,17371981000.0,,17371981000.0,2491563000.0,14880418000.0,,,,,9898748000.0,1623440000.0,,,1985428000.0,,,,1280000.0,385397000.0,5296141000.0,,,607062000.0,603404000.0,3658000.0,,2024-03-31
0.0,102782050.0,102782050.0,,2124000.0,23122656000.0,23132077000.0,7447982000.0,23122656000.0,23129953000.0,23129953000.0,23129953000.0,23129953000.0,23027171000.0,,,102782000.0,102782000.0,3333052000.0,1502461000.0,337464000.0,1098715000.0,,,1830591000.0,475316000.0,2124000.0,2124000.0,,64241000.0,1185354000.0,,123350000.0,1062004000.0,26463005000.0,17184432000.0,1220597000.0,,407871000.0,407871000.0,,7297000.0,7297000.0,12048777000.0,,12048777000.0,1560030000.0,10488747000.0,,,,,9278573000.0,676366000.0,,,1785398000.0,,,,1055000.0,125498000.0,3908244000.0,,,2782012000.0,2714458000.0,67554000.0,,2023-09-30
,102782050.0,102782050.0,,2010000.0,22173937000.0,22184897000.0,7740059000.0,22173937000.0,22182887000.0,22182887000.0,22182887000.0,22182887000.0,22080106000.0,21446949000.0,64028000.0,102782000.0,102782000.0,3288020000.0,1089313000.0,1000.0,1020792000.0,,,2198707000.0,758526000.0,2010000.0,2010000.0,50633000.0,50633000.0,1295913000.0,19094000.0,95434000.0,1181385000.0,25470907000.0,15532143000.0,730597000.0,738004000.0,342110000.0,8552000.0,333558000.0,8950000.0,8950000.0,11157689000.0,-2397699000.0,13555388000.0,2346812000.0,7327000.0,8456338000.0,2681480000.0,63431000.0,0.0,9938766000.0,836782000.0,42536000.0,836782000.0,1909484000.0,378429000.0,218484000.0,1312571000.0,314929000.0,123529000.0,4695819000.0,-7903000.0,4703722000.0,2015687000.0,1959244000.0,56443000.0,56443000.0,2023-03-31
