Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Other Special Charges
0.0,0.269541,8409900000.0,0.0,0.0,5382800000.0,799300000.0,22425100000.0,8409900000.0,7610600000.0,-264400000.0,264400000.0,5382800000.0,5382800000.0,33065500000.0,,,,,5382800000.0,5382800000.0,0.0,5382800000.0,16700000.0,5366100000.0,5366100000.0,1980100000.0,7346200000.0,573400000.0,0.0,,-264400000.0,264400000.0,7075200000.0,10640400000.0,8773700000.0,799300000.0,799300000.0,17715600000.0,22425100000.0,40140700000.0,40140700000.0,2024-03-31,
-7747688.696042,0.267162,8703100000.0,-29000000.0,-29000000.0,5563900000.0,780900000.0,23890800000.0,8674100000.0,7893200000.0,-310900000.0,310900000.0,5585152311.303958,5563900000.0,34488300000.0,240757248.0,240757248.0,23.11,23.11,5563900000.0,5563900000.0,0.0,5563900000.0,7300000.0,5556600000.0,5556600000.0,2025700000.0,7582300000.0,505600000.0,-29000000.0,29000000.0,-310900000.0,310900000.0,7430000000.0,10597500000.0,8477000000.0,780900000.0,780900000.0,18027500000.0,23890800000.0,41918300000.0,41918300000.0,2023-12-31,
0.0,0.265617,9237300000.0,0.0,0.0,5875900000.0,716800000.0,25317600000.0,9237300000.0,8520500000.0,-534200000.0,534200000.0,5875900000.0,5875900000.0,35697300000.0,240716919.0,240716919.0,24.41,24.41,5875900000.0,5875900000.0,0.0,5875900000.0,10900000.0,5865000000.0,5865000000.0,2121300000.0,7986300000.0,523500000.0,0.0,,-534200000.0,534200000.0,8007400000.0,10379700000.0,8688300000.0,716800000.0,716800000.0,18387100000.0,25317600000.0,43704700000.0,43704700000.0,2023-09-30,
0.0,0.267754,7458000000.0,0.0,0.0,4575500000.0,707600000.0,23286800000.0,7458000000.0,6750400000.0,-530500000.0,530500000.0,4575500000.0,4575500000.0,33517200000.0,240815789.0,240815789.0,19.0,19.0,4575500000.0,4575500000.0,0.0,4575500000.0,21000000.0,4554500000.0,4554500000.0,1665400000.0,6219900000.0,539300000.0,0.0,,-530500000.0,530500000.0,6181200000.0,10230400000.0,8048000000.0,707600000.0,707600000.0,16411600000.0,23286800000.0,39698400000.0,39698400000.0,2023-06-30,
99784785.179346,0.267376,8205800000.0,373200000.0,373200000.0,5586600000.0,653300000.0,22662500000.0,8579000000.0,7925700000.0,1282900000.0,314700000.0,5313184785.179346,5586600000.0,31508700000.0,,,,,5586600000.0,5586600000.0,0.0,5586600000.0,10600000.0,5576000000.0,5576000000.0,2035000000.0,7611000000.0,-1533000000.0,-47600000.0,,1282900000.0,314700000.0,7411500000.0,8846200000.0,-6863000000.0,653300000.0,653300000.0,16257700000.0,22662500000.0,38920200000.0,38920200000.0,2023-03-31,
,,,,,,,,,,,,,,,240865409.0,240865409.0,38.71,38.71,,,,,,,,,,,,,,,,,,,,,,,,2022-12-31,
-63750709.146968,0.258729,8086200000.0,-246400000.0,-246400000.0,5056400000.0,739300000.0,24054100000.0,7839800000.0,7100500000.0,-289500000.0,289500000.0,5239049290.853032,5056400000.0,34501900000.0,240895665.0,240895665.0,20.99,20.99,5056400000.0,5056400000.0,0.0,5056400000.0,7600000.0,5048800000.0,5048800000.0,1762200000.0,6811000000.0,556100000.0,-246400000.0,185100000.0,-289500000.0,289500000.0,6797300000.0,10447800000.0,8892700000.0,739300000.0,739300000.0,17245100000.0,24054100000.0,41299200000.0,41299200000.0,2024-06-30 00:00:00,61300000.0
