Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,,3235400000.0,3292400000.0,-2801800000.0,478400000.0,-3049600000.0,-2801800000.0,40700000.0,-2773300000.0,-2751000000.0,-2773300000.0,0.0,-2773300000.0,-3446700000.0,,,673400000.0,673400000.0,19799300000.0,51400000.0,300000.0,2400000.0,48700000.0,26400000.0,22300000.0,19747900000.0,1205500000.0,,3243700000.0,14300000.0,3229400000.0,,9415400000.0,5883300000.0,,,5035100000.0,848200000.0,17026000000.0,327700000.0,100000.0,,12200000.0,,11400000.0,11400000.0,,28500000.0,28500000.0,0.0,275400000.0,,275400000.0,275400000.0,,,,16698300000.0,924400000.0,,,37900000.0,,100900000.0,0.0,7923700000.0,7711400000.0,7695100000.0,16300000.0,,2024-03-31
,,3414000000.0,3474500000.0,6930200000.0,10385900000.0,6617200000.0,6930200000.0,48800000.0,6960200000.0,6987100000.0,6960200000.0,0.0,6960200000.0,6332600000.0,,,627600000.0,627600000.0,16953500000.0,66700000.0,300000.0,5000000.0,61400000.0,34500000.0,26900000.0,16886800000.0,384100000.0,,3413100000.0,14300000.0,3398800000.0,,5836100000.0,7253500000.0,,,2907800000.0,4345700000.0,23913700000.0,409700000.0,15800000.0,,0.0,,11100000.0,11100000.0,,30000000.0,30000000.0,,301300000.0,,301300000.0,301300000.0,,,,23504000000.0,514400000.0,,,190100000.0,,1015300000.0,0.0,12543300000.0,9240900000.0,9229200000.0,11700000.0,,2023-09-30
61135310.0,61135310.0,3474100000.0,3558300000.0,9086800000.0,12621900000.0,8836600000.0,9086800000.0,54900000.0,9118500000.0,9379000000.0,9118500000.0,0.0,9118500000.0,,8069900000.0,437200000.0,611400000.0,611400000.0,14632800000.0,316600000.0,300000.0,14200000.0,302100000.0,41600000.0,260500000.0,14316200000.0,3123400000.0,186200000.0,3256200000.0,13300000.0,3242900000.0,0.0,883100000.0,6867300000.0,7600000.0,1100000.0,2625300000.0,4233300000.0,23751300000.0,598600000.0,200000.0,0.0,20600000.0,8300000.0,192900000.0,141900000.0,51000000.0,31700000.0,31700000.0,0.0,326100000.0,-53000000.0,379100000.0,,278400000.0,100700000.0,0.0,23152800000.0,48700000.0,15100000.0,47600000.0,185800000.0,185800000.0,8095700000.0,130500000.0,12670900000.0,1958500000.0,1929200000.0,29300000.0,29300000.0,2023-03-31
