Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges,Other Special Charges
0.0,0.174229,1032646000.0,605943000.0,238018000.0,4396237000.0,1032646000.0,794628000.0,-65701000.0,65701000.0,605943000.0,605943000.0,11079424000.0,,,,,605943000.0,605943000.0,0.0,605943000.0,4016000.0,601927000.0,601927000.0,127000000.0,728927000.0,983017000.0,-65701000.0,65701000.0,-183677000.0,6683187000.0,4065702000.0,238018000.0,238018000.0,2379467000.0,2379467000.0,6499510000.0,4396237000.0,10895747000.0,10895747000.0,2024-03-31,,,,
0.0,0.0,667519000.0,380455000.0,230811000.0,3977530000.0,667519000.0,436708000.0,-64413000.0,64413000.0,380455000.0,380455000.0,9194716000.0,458379518.0,447594118.0,0.83,0.85,380455000.0,380455000.0,0.0,380455000.0,8160000.0,372295000.0,372295000.0,0.0,372295000.0,936120000.0,-64413000.0,64413000.0,-485804000.0,5217186000.0,2837857000.0,230811000.0,230811000.0,2148518000.0,2148518000.0,4731382000.0,3977530000.0,8708912000.0,8708912000.0,2023-12-31,,,,
0.0,0.015131,80676000.0,-202438000.0,223161000.0,4228407000.0,80676000.0,-142485000.0,-71839000.0,71839000.0,-202438000.0,-202438000.0,9230383000.0,449862222.0,449862222.0,-0.45,-0.45,-202438000.0,-202438000.0,0.0,-202438000.0,8643000.0,-211081000.0,-211081000.0,-3243000.0,-214324000.0,974947000.0,-71839000.0,71839000.0,-1114108000.0,5001976000.0,2305222000.0,223161000.0,223161000.0,2473593000.0,2473593000.0,3887868000.0,4228407000.0,8116275000.0,8116275000.0,2023-09-30,,,,
0.0,0.3,142059000.0,-119041000.0,195210000.0,3839026000.0,142059000.0,-53151000.0,-62647000.0,62647000.0,-119041000.0,-119041000.0,7622077000.0,457850000.0,457850000.0,-0.26,-0.26,-119041000.0,-119041000.0,0.0,-119041000.0,,-119041000.0,-119041000.0,3243000.0,-115798000.0,911616000.0,-62647000.0,62647000.0,-966211000.0,3783051000.0,1599319000.0,195210000.0,195210000.0,1988522000.0,1988522000.0,2816840000.0,3839026000.0,6655866000.0,6655866000.0,2023-06-30,,,,
0.0,0.002871,142871000.0,-96698000.0,174931000.0,3911711000.0,142871000.0,-32060000.0,-61651000.0,61651000.0,-96698000.0,-96698000.0,9546415000.0,,,,,-96698000.0,-96698000.0,0.0,-96698000.0,,-93442000.0,-93442000.0,-269000.0,-93711000.0,822403000.0,-61651000.0,61651000.0,-855468000.0,5634704000.0,894281000.0,174931000.0,174931000.0,4565492000.0,4565492000.0,4779236000.0,3911711000.0,8690947000.0,8690947000.0,2023-03-31,,,,
,,,,,,,,,,,,,445388776.0,445388776.0,-1.96,-1.96,,,,,3256000.0,,,,,,,,,,,,,,,,,,,2022-12-31,,,,
62734604.519774,0.152825,456100000.0,601800000.0,250200000.0,4554600000.0,1021900000.0,771700000.0,-63700000.0,63700000.0,409334604.519774,601800000.0,10747600000.0,459389313.0,449104478.0,1.31,1.34,601800000.0,601800000.0,0.0,601800000.0,2000000.0,599800000.0,599800000.0,108200000.0,708000000.0,1002600000.0,-63700000.0,63700000.0,-642700000.0,6193000000.0,3490100000.0,250200000.0,250200000.0,2452700000.0,2452700000.0,5550300000.0,4554600000.0,10104900000.0,10104900000.0,2024-06-30 00:00:00,565800000.0,410500000.0,410500000.0,-565800000.0
