Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.187542,392600000.0,0.0,0.0,120000000.0,320000000.0,6553900000.0,392600000.0,72600000.0,-67400000.0,-75100000.0,120000000.0,120000000.0,10756600000.0,,,,,120000000.0,120000000.0,0.0,120000000.0,0.0,120000000.0,120000000.0,27700000.0,147700000.0,114400000.0,0.0,-67400000.0,142500000.0,-75100000.0,145400000.0,4202700000.0,2821400000.0,320000000.0,320000000.0,4348100000.0,6553900000.0,10902000000.0,10902000000.0,2024-03-31
0.0,0.335997,637600000.0,0.0,0.0,174500000.0,318000000.0,6919800000.0,637600000.0,319600000.0,-67700000.0,56800000.0,174500000.0,174500000.0,11273100000.0,40487239.0,40487239.0,4.31,4.31,174500000.0,174500000.0,0.0,174500000.0,0.0,174500000.0,174500000.0,88300000.0,262800000.0,70700000.0,0.0,-67700000.0,10900000.0,56800000.0,335200000.0,4353300000.0,2887500000.0,318000000.0,318000000.0,4688500000.0,6919800000.0,11608300000.0,11608300000.0,2023-12-31
0.0,0.313894,686500000.0,0.0,0.0,216300000.0,303500000.0,6306700000.0,686500000.0,383000000.0,-69200000.0,69200000.0,216300000.0,216300000.0,10608300000.0,40734463.0,40734463.0,5.31,5.31,216300000.0,216300000.0,0.0,216300000.0,0.0,216300000.0,215300000.0,98500000.0,313800000.0,60800000.0,0.0,-69200000.0,,69200000.0,400700000.0,4301600000.0,2895800000.0,303500000.0,303500000.0,4702300000.0,6306700000.0,11009000000.0,11009000000.0,2023-09-30
0.0,0.3,10859100000.0,,,-6200000.0,302400000.0,,10859100000.0,10556700000.0,,,-6200000.0,-6200000.0,44000000.0,40518796.0,40518796.0,0.15,0.15,-6200000.0,-6200000.0,0.0,-6200000.0,0.0,-6200000.0,5600000.0,,5600000.0,77800000.0,,,,,10556700000.0,44000000.0,,302400000.0,302400000.0,,,10600700000.0,10600700000.0,2023-06-30
35940000.0,0.3,232500000.0,119800000.0,119800000.0,-99400000.0,338100000.0,8512000000.0,352300000.0,14200000.0,-82900000.0,72000000.0,-183260000.0,-99400000.0,10064500000.0,,,,,-99400000.0,-99400000.0,0.0,-99400000.0,,-99400000.0,-99400000.0,41600000.0,-57800000.0,-66300000.0,-6000000.0,-82900000.0,,72000000.0,37000000.0,1552500000.0,-4545400000.0,338100000.0,234800000.0,1589500000.0,8512000000.0,10101500000.0,10101500000.0,2023-03-31
,,,0.0,0.0,,,6041000000.0,,,-70500000.0,63300000.0,,,,40714286.0,40714286.0,-0.28,-0.28,,,,,0.0,,,-22100000.0,,,0.0,-70500000.0,7200000.0,63300000.0,,,2565600000.0,,,3950600000.0,6041000000.0,,,2022-12-31
0.0,0.269366,826300000.0,0.0,0.0,375400000.0,298700000.0,7872000000.0,826300000.0,527600000.0,-48100000.0,13800000.0,375400000.0,375400000.0,12173300000.0,40539957.0,40539957.0,9.26,9.26,375400000.0,375400000.0,0.0,375400000.0,0.0,375400000.0,375400000.0,138400000.0,513800000.0,70900000.0,0.0,-48100000.0,34300000.0,13800000.0,518300000.0,4301300000.0,2883800000.0,298700000.0,298700000.0,4819600000.0,7872000000.0,12691600000.0,12691600000.0,2024-06-30 00:00:00
