Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investments In Other Ventures Under Equity Method,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Additional Paid In Capital,Held To Maturity Securities
278041474.0,278041474.0,93366500000.0,106792900000.0,99758800000.0,206489700000.0,97182100000.0,99758800000.0,228300000.0,99925100000.0,126525100000.0,103014400000.0,3089300000.0,99925100000.0,98534900000.0,,1390200000.0,1390200000.0,254334200000.0,27014800000.0,,,,26706300000.0,106300000.0,26600000000.0,201600000.0,227319400000.0,99309100000.0,,80086600000.0,122000000.0,79964600000.0,,418500000.0,38219800000.0,,,664100000.0,37555700000.0,357348600000.0,32847100000.0,2700000.0,,3057000000.0,7156200000.0,7156200000.0,,7701300000.0,,7701300000.0,304800000.0,166300000.0,165600000.0,700000.0,12003000000.0,,12003000000.0,2489600000.0,9513400000.0,,,,,324501500000.0,18564700000.0,,,225646200000.0,,,,17790300000.0,3096000000.0,,,59404300000.0,46206200000.0,13198100000.0,,,2024-03-31,,
278039638.0,278039638.0,95628100000.0,102624700000.0,94432900000.0,197052200000.0,92164400000.0,94432900000.0,159500000.0,94587000000.0,121187000000.0,94833600000.0,246600000.0,94587000000.0,93196900000.0,,1390100000.0,1390100000.0,199490100000.0,26900800000.0,-2900000.0,166400000.0,,26659300000.0,59300000.0,26600000000.0,,172589300000.0,59060700000.0,,75965400000.0,100200000.0,75865200000.0,,371600000.0,30942200000.0,,,936600000.0,30005600000.0,294323700000.0,29573000000.0,178600000.0,,3626500000.0,6385300000.0,6385300000.0,,7291200000.0,,7291200000.0,314100000.0,154100000.0,153400000.0,700000.0,9614400000.0,,9614400000.0,7726500000.0,1887900000.0,,,,,264753700000.0,17566700000.0,,,170287500000.0,,,,18078600000.0,4018500000.0,,,54802400000.0,47965300000.0,6837100000.0,,,2023-09-30,,
278021444.0,278021444.0,56852900000.0,64191100000.0,92476900000.0,156642900000.0,63863500000.0,92476900000.0,190100000.0,92641900000.0,92641900000.0,92871400000.0,229500000.0,92641900000.0,72500000.0,4103700000.0,1390100000.0,1390100000.0,138181600000.0,320000000.0,100000.0,160900000.0,50000000.0,109000000.0,109000000.0,0.0,,137861600000.0,7565900000.0,368700000.0,64082100000.0,81100000.0,64001000000.0,65800000.0,27700000.0,37534100000.0,3598900000.0,0.0,369000000.0,33566200000.0,231053000000.0,29327900000.0,-100000.0,0.0,3315100000.0,6579500000.0,382900000.0,6196600000.0,8343300000.0,480800000.0,7862500000.0,321900000.0,165000000.0,164300000.0,700000.0,8256800000.0,-1153300000.0,9410100000.0,6554500000.0,129100000.0,1485500000.0,1240200000.0,800000.0,0.0,201725100000.0,1865300000.0,4747800000.0,8154700000.0,120734000000.0,3874700000.0,116570000000.0,289300000.0,33064900000.0,3593800000.0,-715600000.0,4309400000.0,29564600000.0,22416500000.0,7148100000.0,4446300000.0,2701800000.0,2023-03-31,,
