Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Investmentsin Subsidiariesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Financial Assets Designatedas Fair Value Through Profitor Loss Total
336690741.0,336690741.0,269286600000.0,289959000000.0,68670600000.0,368087800000.0,49989300000.0,68670600000.0,1884300000.0,80013100000.0,195948000000.0,151190600000.0,71177500000.0,80013100000.0,79676400000.0,,,336700000.0,336700000.0,464286400000.0,120429800000.0,132900000.0,,2195300000.0,117209500000.0,1274600000.0,115934900000.0,530400000.0,343856600000.0,101272600000.0,172749500000.0,609700000.0,172139800000.0,1160900000.0,51048600000.0,,,1158700000.0,49889900000.0,615477000000.0,221631100000.0,458100000.0,,4373800000.0,8271200000.0,8271200000.0,49083900000.0,49083900000.0,0.0,3150300000.0,11342500000.0,1614300000.0,9728200000.0,53104000000.0,,53104000000.0,4416300000.0,48687700000.0,,,,,393845900000.0,21152400000.0,,,,245157000000.0,,,,,35139500000.0,0.0,12751500000.0,,,79645500000.0,60857400000.0,18788100000.0,,,2024-03-31,
336688576.0,336688576.0,238698200000.0,252725000000.0,70961700000.0,333091900000.0,44152000000.0,70961700000.0,1874200000.0,82241100000.0,177619100000.0,147044200000.0,64803100000.0,82241100000.0,81904400000.0,,,336700000.0,336700000.0,375627800000.0,99780900000.0,141700000.0,,2208800000.0,96663400000.0,1285400000.0,95378000000.0,454400000.0,275846900000.0,60408100000.0,156061600000.0,588800000.0,155472800000.0,1998800000.0,43940500000.0,,,1237700000.0,42702800000.0,522672000000.0,202673100000.0,867500000.0,,4958700000.0,7423600000.0,7423600000.0,53027800000.0,,,3168100000.0,11279400000.0,1551200000.0,9728200000.0,50290700000.0,,50290700000.0,9941900000.0,40348800000.0,,,,,319998900000.0,21038100000.0,,,,190482900000.0,,,,,26538600000.0,0.0,15383900000.0,,,66555400000.0,54402800000.0,12152600000.0,,,2023-09-30,
336638257.0,336638257.0,178715800000.0,196424200000.0,68591700000.0,274328200000.0,39655500000.0,68591700000.0,1938800000.0,79842800000.0,150682000000.0,143008400000.0,63165600000.0,79842800000.0,1908200000.0,42953300000.0,9566000000.0,336600000.0,336600000.0,296742100000.0,75392300000.0,146600000.0,226700000.0,2309100000.0,72266400000.0,1427200000.0,70839200000.0,430100000.0,221349800000.0,31365500000.0,124157800000.0,511600000.0,123646200000.0,1366100000.0,52663300000.0,3467300000.0,5500000.0,502400000.0,48688100000.0,439750500000.0,178751500000.0,643100000.0,1180800000.0,4693500000.0,7117700000.0,7117700000.0,52036300000.0,52036300000.0,,3899100000.0,11251100000.0,1522900000.0,9728200000.0,46616100000.0,-15512500000.0,62128600000.0,8551900000.0,231300000.0,28631100000.0,19140600000.0,5573700000.0,0.0,261005300000.0,9700000.0,2500000.0,4797300000.0,10289500000.0,140747600000.0,1023500000.0,8394600000.0,119113400000.0,12216100000.0,44410100000.0,0.0,15002100000.0,-1135900000.0,16138000000.0,45746500000.0,29976900000.0,15769600000.0,10412700000.0,5356900000.0,2023-03-31,
