Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Current Deferred Taxes Assets,Restricted Cash,Prepaid Assets,Inventory,Work In Process,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
13500562.0,13500562.0,3887800000.0,4064100000.0,-1169800000.0,2894300000.0,-2709900000.0,-1169800000.0,-1169800000.0,-639900000.0,-1169800000.0,-1169800000.0,-1304800000.0,,,135000000.0,135000000.0,4439200000.0,582900000.0,32500000.0,,,,529900000.0,529900000.0,20500000.0,3856300000.0,113600000.0,3534200000.0,3534200000.0,,7700000.0,200800000.0,,200800000.0,3269400000.0,2123000000.0,,,385600000.0,385600000.0,,,233100000.0,,,,,,,,1146400000.0,36100000.0,38300000.0,,,869600000.0,,,,25400000.0,177000000.0,700000.0,176300000.0,,2024-03-31
13500562.0,13500562.0,3928600000.0,4011700000.0,-1218900000.0,2792800000.0,-2763000000.0,-1218900000.0,-1218900000.0,-741400000.0,-1218900000.0,-1218900000.0,-1353900000.0,,,135000000.0,135000000.0,4371700000.0,572100000.0,77900000.0,,,0.0,477500000.0,477500000.0,16700000.0,3799600000.0,123300000.0,3534200000.0,3534200000.0,,7700000.0,134400000.0,,134400000.0,3152800000.0,2116200000.0,,,325400000.0,325400000.0,,,270800000.0,,,,,,,,1036600000.0,75900000.0,,,,835200000.0,,,30200000.0,11500000.0,83800000.0,700000.0,83100000.0,,2023-09-30
13500562.0,13500562.0,3970907000.0,4019407000.0,-1194394000.0,2825013000.0,-2713851000.0,-1194394000.0,-1194394000.0,-709201000.0,-1194394000.0,-1194394000.0,-1329400000.0,2000000.0,266400000.0,135006000.0,135006000.0,4369795000.0,577788000.0,60136000.0,16877000.0,15582000.0,,485193000.0,485193000.0,16900000.0,3792007000.0,100416000.0,3534214000.0,3534214000.0,8116000.0,8100000.0,149261000.0,18979000.0,130282000.0,3175401000.0,2097245000.0,14000.0,48803000.0,322700000.0,322700000.0,286700000.0,286700000.0,292528000.0,-1098580000.0,1391108000.0,10417000.0,1362926000.0,4446000.0,13319000.0,0.0,1078156000.0,-28000.0,30161000.0,38700000.0,62951000.0,850907000.0,850907000.0,642000.0,62951000.0,46323000.0,48500000.0,600000.0,48500000.0,48500000.0,2023-03-31
