Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date
0.0,0.358511,188700000.0,,,60300000.0,44400000.0,188700000.0,144300000.0,-50300000.0,50300000.0,60300000.0,60300000.0,1043800000.0,,,,,60300000.0,60300000.0,0.0,60300000.0,60300000.0,60300000.0,33700000.0,94000000.0,8100000.0,,-50300000.0,50300000.0,136200000.0,1043800000.0,489200000.0,44400000.0,44400000.0,1180000000.0,1180000000.0,2024-03-31
0.0,0.3,99400000.0,0.0,0.0,-5500000.0,50500000.0,99400000.0,48900000.0,-43500000.0,43500000.0,-5500000.0,-5500000.0,1036600000.0,55000000.0,55000000.0,-0.1,-0.1,-5500000.0,-5500000.0,0.0,-5500000.0,-5500000.0,-5500000.0,10900000.0,5400000.0,5500000.0,0.0,-43500000.0,43500000.0,43400000.0,1036600000.0,493000000.0,50500000.0,50500000.0,1080000000.0,1080000000.0,2023-12-31
0.0,0.3,87300000.0,0.0,0.0,-7600000.0,45000000.0,87300000.0,42300000.0,-40700000.0,40700000.0,-7600000.0,-7600000.0,947600000.0,58461538.0,58461538.0,-0.13,-0.13,-7600000.0,-7600000.0,0.0,-7600000.0,-7600000.0,-7600000.0,9200000.0,1600000.0,6000000.0,0.0,-40700000.0,40700000.0,36300000.0,947600000.0,405800000.0,45000000.0,45000000.0,983900000.0,983900000.0,2023-09-30
0.0,0.3,111700000.0,0.0,0.0,10200000.0,44800000.0,111700000.0,66900000.0,-40900000.0,40900000.0,10200000.0,10200000.0,842500000.0,56666667.0,56666667.0,0.18,0.18,10200000.0,10200000.0,0.0,10200000.0,10200000.0,10200000.0,15800000.0,26000000.0,7700000.0,0.0,-40900000.0,40900000.0,59200000.0,842500000.0,380200000.0,44800000.0,44800000.0,901700000.0,901700000.0,2023-06-30
0.0,0.3,75300000.0,,,-21400000.0,45100000.0,75300000.0,30200000.0,-45600000.0,45600000.0,-21400000.0,-21400000.0,902200000.0,,,,,-21400000.0,-21400000.0,0.0,-21400000.0,-21400000.0,-21400000.0,6000000.0,-15400000.0,15100000.0,,-45600000.0,45600000.0,11500000.0,902200000.0,385200000.0,45100000.0,45100000.0,913700000.0,913700000.0,2023-03-31
,,,0.0,0.0,,,,,,,,,,65000000.0,65000000.0,0.04,0.04,,,,,,,,,,0.0,,,,,,,,,,2022-12-31
0.0,0.3,116700000.0,0.0,0.0,6900000.0,48300000.0,116700000.0,68400000.0,-46100000.0,46100000.0,6900000.0,6900000.0,991900000.0,57500000.0,57500000.0,0.12,0.12,6900000.0,6900000.0,0.0,6900000.0,6900000.0,6900000.0,15400000.0,22300000.0,17600000.0,0.0,-46100000.0,46100000.0,50800000.0,991900000.0,400600000.0,48300000.0,48300000.0,1042700000.0,1042700000.0,2024-06-30 00:00:00
