Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.255879,298100000.0,0.0,0.0,186700000.0,33900000.0,1647600000.0,298100000.0,264200000.0,-13300000.0,13300000.0,186700000.0,186700000.0,2243700000.0,,,,,186700000.0,186700000.0,0.0,186700000.0,186700000.0,186700000.0,64200000.0,250900000.0,40900000.0,0.0,,0.0,-13300000.0,13300000.0,223300000.0,596100000.0,371800000.0,33900000.0,33900000.0,819400000.0,1647600000.0,2467000000.0,2467000000.0,2024-03-31
0.0,0.287942,236800000.0,0.0,0.0,137000000.0,33500000.0,1476900000.0,236800000.0,203300000.0,-10900000.0,10900000.0,137000000.0,137000000.0,2040600000.0,13604767.0,13604767.0,10.07,10.07,137000000.0,137000000.0,0.0,137000000.0,137000000.0,137000000.0,55400000.0,192400000.0,28500000.0,0.0,,0.0,-10900000.0,10900000.0,174800000.0,563700000.0,343100000.0,33500000.0,33500000.0,738500000.0,1476900000.0,2215400000.0,2215400000.0,2023-12-31
0.0,0.252101,304100000.0,0.0,0.0,195800000.0,33400000.0,1498900000.0,304100000.0,270700000.0,-8900000.0,8900000.0,195800000.0,195800000.0,2020000000.0,13597222.0,13597222.0,14.4,14.4,195800000.0,195800000.0,0.0,195800000.0,195800000.0,195800000.0,66000000.0,261800000.0,31100000.0,0.0,,0.0,-8900000.0,8900000.0,239600000.0,521100000.0,309000000.0,33400000.0,33400000.0,760700000.0,1498900000.0,2259600000.0,2259600000.0,2023-09-30
0.0,0.25266,190900000.0,0.0,0.0,112400000.0,33400000.0,1299000000.0,190900000.0,157500000.0,-7100000.0,7100000.0,112400000.0,112400000.0,1769000000.0,13607748.0,13607748.0,8.26,8.26,112400000.0,112400000.0,0.0,112400000.0,112400000.0,112400000.0,38000000.0,150400000.0,30200000.0,0.0,0.0,0.0,-7100000.0,7100000.0,127300000.0,470000000.0,266500000.0,33400000.0,33400000.0,597300000.0,1299000000.0,1896300000.0,1896300000.0,2023-06-30
1827129.96993,0.246909,329300000.0,7400000.0,7400000.0,225400000.0,30500000.0,1920600000.0,336700000.0,306200000.0,-9700000.0,6900000.0,219827129.96993,225400000.0,2755500000.0,,,,,225400000.0,225400000.0,0.0,225400000.0,225400000.0,225400000.0,73900000.0,299300000.0,750000000.0,2500000.0,2900000.0,-11700000.0,-9700000.0,6900000.0,-456800000.0,834900000.0,,30500000.0,30500000.0,378100000.0,1920600000.0,2298700000.0,2298700000.0,2023-03-31
,,,,,,,,,,,,,,,13599335.0,13599335.0,12.03,12.03,,,,,,,,,,,2100000.0,,,,,,280900000.0,,,,,,,2022-12-31
0.0,0.25602,253400000.0,0.0,0.0,151400000.0,37700000.0,1516300000.0,253400000.0,215700000.0,-12200000.0,12200000.0,151400000.0,151400000.0,2122800000.0,13602875.0,13602875.0,11.13,11.13,151400000.0,151400000.0,0.0,151400000.0,151400000.0,151400000.0,52100000.0,203500000.0,40900000.0,0.0,,,-12200000.0,12200000.0,174800000.0,606500000.0,366700000.0,37700000.0,37700000.0,781300000.0,1516300000.0,2297600000.0,2297600000.0,2024-06-30 00:00:00
