Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
,,,2657400000.0,17666260000.0,22475010000.0,15727900000.0,17666260000.0,2657400000.0,22475010000.0,22475010000.0,22494700000.0,19690000.0,22475010000.0,21992690000.0,,,,482320000.0,482320000.0,6794950000.0,3025400000.0,2560000.0,0.0,678200000.0,,95830000.0,2248310000.0,2248310000.0,0.0,3769550000.0,665860000.0,409090000.0,409090000.0,0.0,1628390000.0,316080000.0,,,124470000.0,191610000.0,29289650000.0,9792200000.0,73450000.0,,591290000.0,15130000.0,441260000.0,441260000.0,,4808750000.0,815310000.0,3993440000.0,3628380000.0,,3628380000.0,7680000.0,3620700000.0,,,,,19497450000.0,911370000.0,96760000.0,,,6450000.0,,,8560000.0,4959990000.0,,,13514320000.0,9974780000.0,3539540000.0,,,2024-03-31
823206.0,48202153.0,49025359.0,2148530000.0,14682420000.0,19734010000.0,12768300000.0,14682420000.0,2148480000.0,19733960000.0,19733960000.0,19755200000.0,21240000.0,19733960000.0,19251980000.0,,,,481980000.0,481980000.0,5537680000.0,2411190000.0,5250000.0,0.0,580300000.0,,130960000.0,1694680000.0,1694680000.0,0.0,3126490000.0,545560000.0,453850000.0,453800000.0,50000.0,1089270000.0,354060000.0,,,213710000.0,140350000.0,25292880000.0,9398090000.0,40400000.0,,564950000.0,200000.0,463090000.0,463090000.0,,5051540000.0,1096010000.0,3955530000.0,3075910000.0,,3075910000.0,1030000.0,3074880000.0,,,,,15894790000.0,577210000.0,1650000.0,,,6510000.0,,,20170000.0,3978280000.0,,,11310970000.0,7106810000.0,4204160000.0,,,2023-09-30
,49025359.0,49025359.0,1935580000.0,12013730000.0,17158560000.0,10339710000.0,12013730000.0,1925730000.0,17148710000.0,17155480000.0,17165540000.0,16830000.0,17148710000.0,151690000.0,911290000.0,15864530000.0,91160000.0,480340000.0,480340000.0,5711900000.0,2337490000.0,13850000.0,128000000.0,548550000.0,13850000.0,138400000.0,1508690000.0,1501920000.0,6770000.0,3374410000.0,694170000.0,426890000.0,423810000.0,3080000.0,1367110000.0,517750000.0,238510000.0,230000.0,98540000.0,180470000.0,22877440000.0,9163320000.0,55110000.0,340300000.0,541370000.0,4580000.0,123270000.0,410540000.0,123270000.0,5134980000.0,1175150000.0,3959830000.0,2798240000.0,-3975600000.0,6773840000.0,208150000.0,2590090000.0,2975330000.0,3567730000.0,22630000.0,0.0,13714120000.0,-10000.0,0.0,6160000.0,460360000.0,4540000.0,4540000.0,1804080000.0,144440000.0,4404870000.0,-24890000.0,4429760000.0,6889680000.0,2709830000.0,4179850000.0,1250000.0,4178600000.0,2023-03-31
