Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Held To Maturity Securities
6535552.0,112620748.0,119156300.0,7693700000.0,12774300000.0,44027300000.0,56957500000.0,17227300000.0,44027300000.0,214800000.0,44398000000.0,52292800000.0,44398000000.0,0.0,44398000000.0,44172800000.0,,,225200000.0,225200000.0,57132100000.0,9878600000.0,280700000.0,,481500000.0,,122800000.0,8058900000.0,164100000.0,7894800000.0,424300000.0,47253500000.0,21851100000.0,4715400000.0,50700000.0,4664700000.0,,3053200000.0,15739400000.0,,,410500000.0,15328900000.0,101530100000.0,37049300000.0,1649600000.0,,1085500000.0,4605400000.0,4605400000.0,,190500000.0,190500000.0,0.0,370700000.0,340400000.0,30300000.0,23938400000.0,,23938400000.0,5193500000.0,18744900000.0,,,,,64480800000.0,6635800000.0,,0.0,,,7649000000.0,,,,11400000.0,5200000.0,21164300000.0,,,28787100000.0,23921300000.0,4865800000.0,,,2024-03-31,
6535552.0,112620748.0,119156300.0,7284900000.0,10738400000.0,39622900000.0,50442100000.0,14836600000.0,39622900000.0,183100000.0,39886800000.0,46666400000.0,39927700000.0,40900000.0,39886800000.0,39661600000.0,,,225200000.0,225200000.0,53203400000.0,8355700000.0,239300000.0,,382000000.0,,40000000.0,6913100000.0,133500000.0,6779600000.0,397100000.0,44847700000.0,22015400000.0,3825300000.0,49600000.0,3775700000.0,,2723100000.0,14684300000.0,,,215100000.0,14469200000.0,93131100000.0,33446800000.0,1759900000.0,,974200000.0,3911600000.0,3911600000.0,,157300000.0,157300000.0,,263900000.0,233600000.0,30300000.0,21365600000.0,,21365600000.0,2637500000.0,18728100000.0,,,,,59684300000.0,5285600000.0,,79000000.0,,,7571400000.0,,,,9600000.0,33600000.0,18373900000.0,,,28099300000.0,24828900000.0,3270400000.0,,,2023-09-30,
6541440.0,112614860.0,119156300.0,3577200000.0,8513300000.0,38358500000.0,46786100000.0,16709700000.0,38358500000.0,407900000.0,38680700000.0,42905900000.0,38702200000.0,21500000.0,38680700000.0,38455500000.0,31440900000.0,1176200000.0,225200000.0,225200000.0,49683900000.0,5592000000.0,216400000.0,7500000.0,307500000.0,86100000.0,29100000.0,4502900000.0,277700000.0,4225200000.0,384000000.0,44091900000.0,142000000.0,4010400000.0,130200000.0,3880200000.0,16400000.0,2037100000.0,16326600000.0,1096700000.0,6900000.0,244400000.0,14978600000.0,88386100000.0,27584500000.0,2125300000.0,2125300000.0,1086200000.0,2709300000.0,540900000.0,2168400000.0,163700000.0,163700000.0,,322200000.0,291900000.0,30300000.0,16497200000.0,-9032900000.0,25530100000.0,4337700000.0,12159500000.0,11356300000.0,7894800000.0,1941300000.0,0.0,60801600000.0,62000000.0,38500000.0,79000000.0,6900000.0,4736900000.0,7556300000.0,902500000.0,2025200000.0,4628600000.0,4950300000.0,11900000.0,17620600000.0,-3735700000.0,21356300000.0,25510900000.0,20982700000.0,4528200000.0,1523500000.0,3004700000.0,2023-03-31,
