Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Current Deferred Taxes Liabilities
188301470.0,188301470.0,4499495000.0,4557680000.0,8220817000.0,12725967000.0,4422010000.0,8220817000.0,52530000.0,8220817000.0,9692655000.0,8220817000.0,8220817000.0,8032516000.0,,,188301000.0,188301000.0,5932249000.0,2105155000.0,,,,315353000.0,1512112000.0,40274000.0,1471838000.0,277690000.0,3827094000.0,35665000.0,3045568000.0,12256000.0,3033312000.0,,54704000.0,474956000.0,,,43377000.0,431579000.0,14153066000.0,5903962000.0,38293000.0,,0.0,29966000.0,29966000.0,,0.0,5834833000.0,,5834833000.0,4003000.0,5830830000.0,,,,,8249104000.0,144668000.0,,,7409083000.0,,,,,,356501000.0,,,338852000.0,333197000.0,5655000.0,,2024-03-31,
188301470.0,188301470.0,,2675696000.0,7906764000.0,10524159000.0,4016697000.0,7906764000.0,58301000.0,7906764000.0,9680410000.0,7906764000.0,7906764000.0,7718463000.0,,,188301000.0,188301000.0,3519281000.0,2135154000.0,,,,65130000.0,1820157000.0,46511000.0,1773646000.0,249867000.0,1384127000.0,40178000.0,855539000.0,11790000.0,843749000.0,,47161000.0,175799000.0,,,37990000.0,137809000.0,11426045000.0,6025221000.0,37594000.0,,0.0,18399000.0,18399000.0,,0.0,5968987000.0,,5968987000.0,181434000.0,5787553000.0,,,,,5400824000.0,130750000.0,,,1588911000.0,,,,,,259146000.0,,,3422017000.0,60823000.0,3361194000.0,,2023-09-30,
188301470.0,188301470.0,3700896000.0,3746733000.0,7397940000.0,11105514000.0,3874908000.0,7397940000.0,39159000.0,7397940000.0,9540155000.0,7397940000.0,7397940000.0,7209639000.0,5352107000.0,1855011000.0,188301000.0,188301000.0,5402120000.0,2419457000.0,417000.0,246536000.0,417000.0,,2172504000.0,30289000.0,2142215000.0,246536000.0,2982663000.0,59173000.0,1574229000.0,8870000.0,1565359000.0,171453000.0,49541000.0,1195478000.0,222371000.0,380716000.0,41677000.0,550714000.0,12800060000.0,5942489000.0,1000.0,44394000.0,36859000.0,3220000.0,1220000.0,2000000.0,0.0,5832521000.0,-6009712000.0,11842233000.0,9496000.0,5823026000.0,9800521000.0,1770950000.0,261266000.0,0.0,6857571000.0,135312000.0,391796000.0,110737000.0,5606929000.0,15757000.0,5051140000.0,116527000.0,423505000.0,104442000.0,636989000.0,-241000.0,637230000.0,6678000.0,393183000.0,6678000.0,6678000.0,2023-03-31,
