Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Investment Properties,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
,,95906000.0,288587000.0,360729000.0,649316000.0,-133400000.0,360729000.0,360729000.0,570047000.0,360729000.0,360729000.0,248496000.0,,,112233000.0,112233000.0,726202000.0,235718000.0,,33000.0,26367000.0,209318000.0,209318000.0,490484000.0,3431000.0,79269000.0,79269000.0,2514000.0,405270000.0,,1021000.0,404249000.0,1086931000.0,729847000.0,0.0,0.0,0.0,0.0,0.0,728693000.0,,728693000.0,0.0,728693000.0,,357084000.0,2955000.0,,0.0,,,,222000.0,79178000.0,82048000.0,,,192681000.0,192681000.0,,,2024-03-31
10410000.0,10410000.0,167357000.0,257855000.0,233530000.0,491385000.0,-74410000.0,233530000.0,233530000.0,491385000.0,233530000.0,233530000.0,129430000.0,,,104100000.0,104100000.0,511856000.0,281496000.0,-1000.0,,23642000.0,257855000.0,257855000.0,230360000.0,2122000.0,0.0,0.0,5762000.0,222476000.0,,585000.0,221891000.0,745386000.0,589437000.0,0.0,0.0,0.0,0.0,0.0,589437000.0,,589437000.0,0.0,589437000.0,,155950000.0,894000.0,,0.0,,,,9841000.0,0.0,54717000.0,,,90498000.0,90498000.0,,,2023-09-30
10410000.0,10410000.0,2877759.0,119681584.0,211305990.0,330987574.0,114048867.0,211305990.0,211305990.0,297797203.0,211305990.0,211305990.0,107246000.0,107205990.0,0.0,104100000.0,104100000.0,184786201.0,110554488.0,1072059.9,421375.0,23641900.0,86491213.0,86491213.0,74231713.0,4060000.0,33190371.0,33190371.0,4861502.0,32119840.0,1893263.0,2098729.0,28127848.0,396092191.0,207811611.0,0.0,0.0,0.0,0.0,0.0,203917130.0,-267117422.0,471034552.0,0.0,2039171.3,471034552.0,188280580.0,6036.07,668607.0,0.0,0.0,0.0,0.0,1187184.0,14185308.0,55435656.0,0.0,55435656.0,116803825.0,116803825.0,114313313.0,2490512.0,2023-03-31
