Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Non Current Pension And Other Postretirement Benefit Plans
65566022.0,65566022.0,,0.0,11669100000.0,11690380000.0,3040110000.0,11669100000.0,11690380000.0,11690380000.0,11687390000.0,-2990000.0,11690380000.0,11034720000.0,,,655660000.0,655660000.0,1125940000.0,68400000.0,30950000.0,37450000.0,0.0,0.0,1057540000.0,167430000.0,,0.0,0.0,,245670000.0,644440000.0,,22040000.0,622400000.0,12813330000.0,8715680000.0,9030000.0,,,790270000.0,790270000.0,,21280000.0,21280000.0,7895100000.0,,7895100000.0,740040000.0,7155060000.0,,,,,4097650000.0,125430000.0,,213420000.0,,5500000.0,,572130000.0,,,3181170000.0,168660000.0,3012510000.0,,,2024-03-31,
65566022.0,65566022.0,,30910000.0,10801960000.0,10841230000.0,3033130000.0,10801960000.0,10810320000.0,10810320000.0,10806120000.0,-4200000.0,10810320000.0,10154660000.0,,,655660000.0,655660000.0,1454870000.0,24580000.0,,24580000.0,0.0,0.0,1430290000.0,205430000.0,,30910000.0,30910000.0,,606550000.0,587400000.0,,34380000.0,553020000.0,12260990000.0,7797570000.0,36280000.0,,,212520000.0,212520000.0,,8360000.0,8360000.0,7540410000.0,,7540410000.0,390180000.0,7150230000.0,,,,,4463420000.0,447600000.0,,204950000.0,,14920000.0,,568270000.0,,,3227680000.0,14400000.0,3213280000.0,,,2023-09-30,
65566022.0,65566022.0,3341640000.0,4686270000.0,3649370000.0,8343120000.0,771240000.0,3649370000.0,3656850000.0,8181920000.0,3639100000.0,-17750000.0,3656850000.0,,2283180000.0,407460000.0,565180000.0,565180000.0,6216240000.0,4894870000.0,,369800000.0,4525070000.0,4525070000.0,1321370000.0,64120000.0,16540000.0,161200000.0,161200000.0,55220000.0,232720000.0,713430000.0,6150000.0,,707280000.0,9855340000.0,7762730000.0,,16410000.0,66950000.0,190380000.0,190380000.0,510000.0,7480000.0,7480000.0,7481000000.0,-2440740000.0,9921740000.0,291480000.0,3094650000.0,2065420000.0,3497440000.0,972750000.0,0.0,2092610000.0,130000.0,81730000.0,189990000.0,189990000.0,5250000.0,0.0,456880000.0,0.0,456880000.0,1358630000.0,14000000.0,1344630000.0,1086820000.0,257810000.0,2023-03-31,
