Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Investmentsin Joint Venturesat Cost
977386.0,109912426.0,110889812.0,,7876000000.0,21492000000.0,47107000000.0,19010000000.0,21492000000.0,3350000000.0,42581000000.0,45364000000.0,45569000000.0,2988000000.0,42581000000.0,42026000000.0,,,,555000000.0,555000000.0,24467000000.0,7886000000.0,,839000000.0,5248000000.0,2465000000.0,2783000000.0,1795000000.0,16581000000.0,2801000000.0,2628000000.0,885000000.0,1743000000.0,1144000000.0,7440000000.0,,,562000000.0,6878000000.0,70036000000.0,34445000000.0,178000000.0,,,752000000.0,3945000000.0,3945000000.0,,,,21089000000.0,4397000000.0,16692000000.0,7749000000.0,,7749000000.0,16000000.0,7733000000.0,,,,,35591000000.0,2930000000.0,,,,,4676000000.0,,,,,12617000000.0,,,15368000000.0,10520000000.0,4848000000.0,,,2024-03-31,
996229.0,109767732.0,110763961.0,2521000000.0,10392000000.0,19426000000.0,47999000000.0,18432000000.0,19426000000.0,2768000000.0,40375000000.0,44445000000.0,43305000000.0,2930000000.0,40375000000.0,39821000000.0,,,,554000000.0,554000000.0,27583000000.0,8461000000.0,,791000000.0,6009000000.0,1939000000.0,4070000000.0,1634000000.0,19122000000.0,3489000000.0,4383000000.0,829000000.0,3554000000.0,1014000000.0,7331000000.0,,,750000000.0,6581000000.0,70888000000.0,33334000000.0,204000000.0,,,600000000.0,4045000000.0,4045000000.0,,,,20949000000.0,4645000000.0,16304000000.0,7171000000.0,,7171000000.0,118000000.0,7053000000.0,,,,,37554000000.0,3374000000.0,,,,,4687000000.0,,,,,12223000000.0,,,17270000000.0,12167000000.0,5103000000.0,,,2023-09-30,
1079000.0,109496006.0,110575006.0,3149000000.0,12178000000.0,13254000000.0,44003000000.0,11682000000.0,13254000000.0,2842000000.0,34667000000.0,39606000000.0,34635000000.0,-32000000.0,34667000000.0,488000000.0,950000000.0,24845000000.0,2443000000.0,553000000.0,553000000.0,30846000000.0,10615000000.0,0.0,830000000.0,6899000000.0,1960000000.0,4939000000.0,1616000000.0,20231000000.0,1275000000.0,5279000000.0,882000000.0,4397000000.0,1137000000.0,7765000000.0,25000000.0,28000000.0,570000000.0,7142000000.0,65481000000.0,33568000000.0,362000000.0,605000000.0,6000000.0,482000000.0,3463000000.0,2786000000.0,677000000.0,0.0,0.0,21413000000.0,5050000000.0,16363000000.0,7278000000.0,-7183000000.0,14461000000.0,27000000.0,872000000.0,8615000000.0,4561000000.0,386000000.0,0.0,31913000000.0,2845000000.0,80000000.0,113000000.0,1007000000.0,2648000000.0,4358000000.0,113000000.0,301000000.0,3944000000.0,4531000000.0,11271000000.0,-487000000.0,11758000000.0,7905000000.0,1718000000.0,6187000000.0,347000000.0,5840000000.0,2023-03-31,
