Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Long Term Equity Investment,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
,2169252744.0,2169252744.0,431841900000.0,545990500000.0,620307500000.0,1211200400000.0,-151892400000.0,620307500000.0,91141200000.0,756351100000.0,1025122500000.0,756351100000.0,0.0,756351100000.0,734988200000.0,,,21362900000.0,21362900000.0,1267826400000.0,458992900000.0,20701500000.0,,,79756800000.0,354772900000.0,86001500000.0,268771400000.0,3053500000.0,808833500000.0,70652300000.0,191217600000.0,5139700000.0,186077900000.0,30232900000.0,289152500000.0,,,6094400000.0,283058100000.0,2024177500000.0,1367236400000.0,17974400000.0,,24324000000.0,,24324000000.0,205614100000.0,900000.0,136043600000.0,124003800000.0,12039800000.0,933977600000.0,,933977600000.0,86797200000.0,847180400000.0,,,,,656941100000.0,16737300000.0,,424200000.0,,,428361300000.0,,,,,1369200000.0,8279000000.0,83420300000.0,,,118349800000.0,95342400000.0,23007400000.0,,,2024-03-31
6836948.0,2162415796.0,2169252744.0,414307100000.0,563352100000.0,579073900000.0,1185024200000.0,-102642600000.0,579073900000.0,88152600000.0,709824700000.0,1037277300000.0,709824700000.0,0.0,709824700000.0,688530200000.0,,,21294500000.0,21294500000.0,1400209800000.0,513424600000.0,19148600000.0,,,80497100000.0,411082100000.0,83629500000.0,327452600000.0,2051000000.0,886785200000.0,163752800000.0,152270000000.0,4523100000.0,147746900000.0,28802000000.0,327292700000.0,,,43604300000.0,283688400000.0,2110034500000.0,1325891900000.0,13343300000.0,,14974000000.0,,14974000000.0,210283600000.0,100000.0,130750800000.0,118711000000.0,12039800000.0,906295200000.0,,906295200000.0,71319200000.0,834976000000.0,,,,,784142600000.0,20242300000.0,,441900000.0,,,441134700000.0,,,,,1340300000.0,8277700000.0,57574600000.0,,,255131100000.0,194238700000.0,60892400000.0,,,2023-09-30
6836948.0,2162415796.0,2169252744.0,581418900000.0,693760300000.0,407820600000.0,1139769700000.0,-188287800000.0,407820600000.0,89214200000.0,535223600000.0,948917200000.0,535223600000.0,0.0,535223600000.0,-898200000.0,93742900000.0,66062200000.0,21294500000.0,21294500000.0,1345864100000.0,597447000000.0,19125100000.0,585200000.0,19125100000.0,79205500000.0,496345300000.0,82651700000.0,413693600000.0,2082200000.0,748417100000.0,58232700000.0,197415000000.0,6562500000.0,190852500000.0,27292800000.0,249283500000.0,5643000000.0,310700000.0,9800000.0,243320000000.0,1881087700000.0,1320958400000.0,13111200000.0,11474300000.0,8004900000.0,100000.0,8004800000.0,217006500000.0,100000.0,127403000000.0,115363200000.0,12039800000.0,901837400000.0,-271147300000.0,1172984700000.0,56450500000.0,461875700000.0,499518000000.0,126107600000.0,26127500000.0,2905400000.0,560129300000.0,21676500000.0,187400000.0,168000000.0,838200000.0,19790700000.0,380691900000.0,412200000.0,236141600000.0,30078200000.0,114059900000.0,9412600000.0,14125000000.0,67237800000.0,-2319700000.0,69557500000.0,67677700000.0,44550500000.0,23127200000.0,17855300000.0,5271900000.0,2023-03-31
