Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date
16000000.0,0.4,40000000.0,40000000.0,1333300000.0,207000000.0,1345400000.0,1358700000.0,2704100000.0,1309300000.0,1333300000.0,,,,,1333300000.0,1333300000.0,1333300000.0,-240000000.0,1573200000.0,,1573200000.0,1299500000.0,2872700000.0,40000000.0,,903400000.0,3236700000.0,2034600000.0,207000000.0,207000000.0,5456400000.0,5456400000.0,2024-03-31
-4230000.0,0.3,-14100000.0,-14100000.0,179100000.0,213300000.0,-295700000.0,1459900000.0,1164200000.0,188970000.0,179100000.0,2558571429.0,2558571429.0,0.07,0.07,179100000.0,179100000.0,179100000.0,-214100000.0,393200000.0,,393200000.0,317500000.0,710700000.0,-14100000.0,,566800000.0,2381500000.0,1488400000.0,213300000.0,213300000.0,3131100000.0,3131100000.0,2023-12-31
0.0,0.3,0.0,0.0,962000000.0,208900000.0,-329900000.0,1452400000.0,1122500000.0,962000000.0,962000000.0,2466666667.0,2466666667.0,0.39,0.39,962000000.0,962000000.0,962000000.0,-780900000.0,1727600000.0,0.0,1727600000.0,3468600000.0,5196200000.0,0.0,,607400000.0,2158800000.0,1251000000.0,208900000.0,208900000.0,4405600000.0,4405600000.0,2023-09-30
-1500000.0,0.3,-5000000.0,-5000000.0,-1399800000.0,179700000.0,-892800000.0,1440300000.0,547500000.0,-1396300000.0,-1399800000.0,2499642857.0,2499642857.0,-0.56,-0.56,-1399800000.0,-1399800000.0,-1399800000.0,-142200000.0,-1293000000.0,0.0,-1293000000.0,12700000.0,-1280000000.0,-5000000.0,,44200000.0,2140900000.0,1197700000.0,179700000.0,179700000.0,1459900000.0,1459900000.0,2023-06-30
-1440000.0,0.3,-4800000.0,-4800000.0,-2548900000.0,182800000.0,-686500000.0,1618600000.0,932100000.0,-2545540000.0,-2548900000.0,,,,,-2548900000.0,-2548900000.0,-2548900000.0,-136800000.0,-2411700000.0,0.0,-2411700000.0,688600000.0,-1723100000.0,-4800000.0,4800000.0,278100000.0,2893900000.0,1258000000.0,182800000.0,-45000000.0,2196700000.0,2196700000.0,2023-03-31
,,,,,,,,,,,2195476190.0,2195476190.0,0.42,0.42,,,,,,0.0,,,,,-5200000.0,,,,,,,,2022-12-31
0.0,0.3,0.0,0.0,-1082000000.0,200700000.0,-136700000.0,1345200000.0,1208500000.0,-1082000000.0,-1082000000.0,2639024390.0,2639024390.0,-0.41,-0.41,-1082000000.0,-1082000000.0,-1082000000.0,-202300000.0,-879700000.0,0.0,-879700000.0,1283700000.0,404000000.0,0.0,,141700000.0,2140900000.0,1238100000.0,200700000.0,200700000.0,2429700000.0,2429700000.0,2024-06-30 00:00:00
