Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Total Assets,Investments And Advances,Investmentin Financial Assets,Net PPE,Cash And Cash Equivalents,Cash Financial,Date,Cash Cash Equivalents And Federal Funds Sold
0.0,2435723725.0,2435723725.0,59658000000.0,251596200000.0,301053500000.0,552649700000.0,301053500000.0,301053500000.0,552649700000.0,309258300000.0,8204800000.0,301053500000.0,4870700000.0,4870700000.0,2869131200000.0,251596200000.0,3178389500000.0,610431200000.0,610431200000.0,10630400000.0,191938200000.0,115091100000.0,2024-03-31,
,2351592652.0,2351592652.0,54414600000.0,263599100000.0,268019800000.0,531618900000.0,268019800000.0,268019800000.0,531618900000.0,271887400000.0,3867600000.0,268019800000.0,4703200000.0,4703200000.0,2688593400000.0,263599100000.0,2960480800000.0,549139200000.0,549139200000.0,9832600000.0,209184500000.0,150169700000.0,2023-09-30,
,2116201143.0,2116201143.0,80580500000.0,258619800000.0,221224100000.0,479843900000.0,221224100000.0,221224100000.0,479843900000.0,224743800000.0,3519700000.0,221224100000.0,4232400000.0,4232400000.0,2455296800000.0,258619800000.0,2680040600000.0,487022400000.0,487022400000.0,9717100000.0,178039300000.0,126042400000.0,2023-03-31,
