Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Operating Expense,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Total Revenue,Operating Revenue,Date,Other Operating Expenses
0.0,0.4,-2950100000.0,141600000.0,2592800000.0,4072500000.0,6665300000.0,-2950100000.0,-2950100000.0,,,,,-2950100000.0,-2950100000.0,-2950100000.0,,-6716500000.0,,-6716500000.0,1027600000.0,-5721200000.0,11853100000.0,141600000.0,141600000.0,10511200000.0,10511200000.0,6131900000.0,6131900000.0,2024-03-31,
0.0,0.229095,3223500000.0,136800000.0,2744700000.0,4002900000.0,6747600000.0,3223500000.0,3223500000.0,1107731959.0,1107731959.0,2.91,2.91,3223500000.0,3223500000.0,3223500000.0,,3215600000.0,,3215600000.0,955600000.0,4171200000.0,3949300000.0,136800000.0,136800000.0,1352500000.0,1352500000.0,8120500000.0,8120500000.0,2023-12-31,
0.0,0.260461,1945400000.0,131600000.0,2439600000.0,3881000000.0,6320600000.0,1945400000.0,1945400000.0,955588235.0,955588235.0,2.04,2.04,1949400000.0,1949400000.0,1949400000.0,-110000000.0,2059400000.0,4000000.0,2055400000.0,723900000.0,2779300000.0,4210800000.0,131600000.0,131600000.0,1719300000.0,1719300000.0,6990100000.0,6990100000.0,2023-09-30,
0.0,0.24284,1646400000.0,120300000.0,1520000000.0,3658800000.0,5178800000.0,1646400000.0,1646400000.0,953448276.0,953448276.0,1.74,1.74,1659000000.0,1659000000.0,1659000000.0,-106600000.0,1757400000.0,12600000.0,1744800000.0,559600000.0,2304400000.0,3387200000.0,120300000.0,120300000.0,1332700000.0,1332700000.0,5691600000.0,5691600000.0,2023-06-30,
0.0,0.396999,575300000.0,117800000.0,3610100000.0,3465300000.0,7075400000.0,575300000.0,575300000.0,,,,,571100000.0,571100000.0,571100000.0,247500000.0,323600000.0,,327800000.0,214300000.0,539800000.0,4122200000.0,117800000.0,117800000.0,1819900000.0,1546600000.0,4662000000.0,4662000000.0,2023-03-31,
,,,,,,,,,1207386935.0,1207386935.0,1.99,1.99,,,,-501100000.0,,,,,,,,,,,,,2022-12-31,
0.0,0.242487,1695000000.0,162400000.0,1835100000.0,3702200000.0,5537300000.0,1695000000.0,1695000000.0,953631285.0,953631285.0,1.79,1.79,1707000000.0,1707000000.0,1707000000.0,-162800000.0,1869800000.0,12000000.0,1857800000.0,594700000.0,2452500000.0,4059400000.0,162400000.0,162400000.0,712100000.0,712100000.0,6511900000.0,6511900000.0,2024-06-30 00:00:00,871900000.0
