Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
295259959.0,295259959.0,6549710000.0,143838610000.0,159018570000.0,119352670000.0,143838610000.0,152468860000.0,152468860000.0,152468860000.0,152468860000.0,152173600000.0,,,295260000.0,295260000.0,68249110000.0,1196210000.0,,1105270000.0,28960000.0,67052900000.0,339060000.0,,6549710000.0,6549710000.0,883780000.0,59203770000.0,,,,59203770000.0,220717970000.0,34312400000.0,,12920040000.0,,,8630250000.0,12169370000.0,,12169370000.0,85220000.0,12084150000.0,,,,,186405570000.0,,,42050900000.0,,,,3689880000.0,113044660000.0,27620130000.0,11654240000.0,15965890000.0,,2024-03-31
295259959.0,295259959.0,6267620000.0,143701860000.0,158488640000.0,119554040000.0,143701860000.0,152221020000.0,152221020000.0,152221020000.0,152221020000.0,151925760000.0,,,295260000.0,295260000.0,40024020000.0,1093230000.0,,1000520000.0,29530000.0,38930790000.0,237780000.0,,6267620000.0,6267620000.0,1185630000.0,31164820000.0,,,,31164820000.0,192245040000.0,33760210000.0,,12537530000.0,,,8519160000.0,12205600000.0,,12205600000.0,491380000.0,11714220000.0,,,,,158484830000.0,,,15334720000.0,,,,3769400000.0,114593050000.0,24787660000.0,10567310000.0,14220350000.0,,2023-09-30
295259959.0,295259959.0,7232983000.0,138775937000.0,154469257000.0,114585273000.0,138775937000.0,147236274000.0,147236274000.0,147236274000.0,147236274000.0,,104123406000.0,6449295000.0,295260000.0,295260000.0,81510407000.0,1118407000.0,25561000.0,1026124000.0,29100000.0,80392000000.0,,697472000.0,7232983000.0,7232983000.0,504352000.0,71876918000.0,239502000.0,64489000.0,0.0,71572927000.0,228746681000.0,33769409000.0,594957000.0,12409013000.0,2236000.0,12406777000.0,8460337000.0,12305102000.0,-11715779000.0,24020881000.0,381813000.0,376668000.0,15760879000.0,7137731000.0,363790000.0,0.0,194977273000.0,64489000.0,6066713000.0,60487137000.0,17244665000.0,38928249000.0,4314223000.0,3896057000.0,103563858000.0,20899019000.0,10736786000.0,10162233000.0,10162233000.0,2023-03-31
