Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Current Assets,Other Current Assets,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date
,11081245.0,11081245.0,17205000.0,349925000.0,370036000.0,319232000.0,349925000.0,352831000.0,366058000.0,359338000.0,6507000.0,352831000.0,242019000.0,,110812000.0,110812000.0,70042000.0,21470000.0,90000.0,,13227000.0,13227000.0,8153000.0,48572000.0,19975000.0,,3978000.0,3978000.0,,13384000.0,9373000.0,,9373000.0,429380000.0,61576000.0,,2110000.0,0.0,,2906000.0,2906000.0,40741000.0,,,,,367804000.0,26859000.0,74180000.0,266765000.0,53240000.0,213525000.0,2024-03-31
0.0,11081245.0,11081245.0,5618000.0,324410000.0,333280000.0,297458000.0,324410000.0,327662000.0,331015000.0,334276000.0,6614000.0,327662000.0,216850000.0,,110812000.0,110812000.0,50374000.0,10947000.0,1000.0,,3353000.0,3353000.0,7593000.0,39427000.0,20486000.0,,2265000.0,2265000.0,,6891000.0,3628000.0,,3628000.0,384650000.0,47765000.0,-1000.0,2063000.0,0.0,,3252000.0,3252000.0,23598000.0,,,,,336885000.0,121248000.0,58994000.0,156643000.0,51538000.0,105105000.0,2023-09-30
,10181245.0,10181245.0,2678000.0,251223000.0,257520000.0,226669000.0,251223000.0,254842000.0,256374000.0,261563000.0,6721000.0,254842000.0,73950000.0,79080000.0,101812000.0,101812000.0,77586000.0,9125000.0,1000.0,7593000.0,1532000.0,1532000.0,7593000.0,68461000.0,-1000.0,11044000.0,1146000.0,1146000.0,1132000.0,3046000.0,48900000.0,7604000.0,41296000.0,339149000.0,44019000.0,-1000.0,2063000.0,200000.0,200000.0,3619000.0,3619000.0,21614000.0,-34584000.0,56198000.0,13457000.0,42741000.0,295130000.0,28330000.0,70276000.0,196524000.0,20785000.0,175739000.0,2023-03-31
