Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,179081839.0,179081839.0,3564300000.0,3622800000.0,29327000000.0,33842600000.0,47200000.0,29327000000.0,17700000.0,30237500000.0,31352400000.0,30237500000.0,30237500000.0,28446700000.0,,,1790800000.0,1790800000.0,10348700000.0,2533700000.0,,912500000.0,1131400000.0,16500000.0,1114900000.0,489800000.0,7815000000.0,512600000.0,15300000.0,2491400000.0,1200000.0,2490200000.0,,331500000.0,1875300000.0,,,,1875300000.0,40586200000.0,32724000000.0,113000000.0,,293100000.0,293100000.0,910500000.0,31241400000.0,,31241400000.0,4949000000.0,26292400000.0,,,,,7862200000.0,1205200000.0,,,3006700000.0,,,,,,,834100000.0,,,2816200000.0,2775400000.0,40800000.0,,2024-03-31
0.0,179081839.0,179081839.0,4245300000.0,4331000000.0,30198800000.0,35432900000.0,-171000000.0,30198800000.0,17400000.0,31119300000.0,32491700000.0,31119300000.0,31119300000.0,29328500000.0,,,1790800000.0,1790800000.0,11733400000.0,3080000000.0,,1233000000.0,1388600000.0,16200000.0,1372400000.0,458400000.0,8653400000.0,802500000.0,,2942400000.0,1200000.0,2941200000.0,,281900000.0,2533600000.0,,,614200000.0,1919400000.0,42852700000.0,34370300000.0,121000000.0,,465800000.0,465800000.0,920500000.0,32780000000.0,,32780000000.0,3452100000.0,29327900000.0,,,,,8482400000.0,1729200000.0,,,2979300000.0,,,,,,,1024200000.0,,,2749700000.0,2681400000.0,68300000.0,,2023-09-30
,179081839.0,179081839.0,58701000.0,59907000.0,295379000.0,355111000.0,-1506000.0,295379000.0,175000.0,295379000.0,317831000.0,295379000.0,295379000.0,27747100000.0,115292000.0,38920000.0,17908000.0,17908000.0,129692000.0,40420000.0,4356000.0,13449000.0,22615000.0,163000.0,22452000.0,435600000.0,89272000.0,626600000.0,3136000.0,37292000.0,12000.0,37280000.0,2679000.0,267900000.0,44179000.0,23869000.0,22000.0,313600000.0,20288000.0,425071000.0,337305000.0,121000000.0,2994000.0,4474000.0,4474000.0,930500000.0,328983000.0,-192697000.0,521680000.0,17203000.0,30247500000.0,442293000.0,48699000.0,3488000.0,9997000.0,87766000.0,1634600000.0,28741000.0,15160000.0,31170000.0,3232000.0,2189000.0,336000.0,25413000.0,530000.0,1443000.0,9691000.0,-185000.0,9876000.0,1031000.0,2952800000.0,1031000.0,1031000.0,2023-03-31
