Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,-1745353.267422,0.342898,524770000.0,-5090000.0,-5090000.0,54500000.0,237190000.0,10955170000.0,519680000.0,282490000.0,-199550000.0,199550000.0,57844646.732578,54500000.0,12696830000.0,70779221.0,70779221.0,0.77,0.77,54500000.0,54500000.0,0.0,54500000.0,0.0,54500000.0,54500000.0,28440000.0,82940000.0,69920000.0,-5090000.0,,5090000.0,-199550000.0,199550000.0,217660000.0,1741660000.0,547940000.0,237190000.0,237190000.0,1959320000.0,10955170000.0,12914490000.0,12914490000.0
2023-09-30,5379144.90577,0.217867,867920000.0,24690000.0,24690000.0,322880000.0,227080000.0,14104900000.0,892610000.0,665530000.0,-271940000.0,252710000.0,303569144.90577,322880000.0,14413890000.0,,,,,322880000.0,322880000.0,0.0,322880000.0,0.0,322880000.0,322880000.0,89940000.0,412820000.0,63100000.0,11930000.0,-4550000.0,-7380000.0,-271940000.0,252710000.0,596970000.0,308990000.0,140080000.0,227080000.0,203110000.0,905960000.0,14104900000.0,15010860000.0,15010860000.0
2023-06-30,2896499.920597,0.384151,546250000.0,7540000.0,7540000.0,77560000.0,217110000.0,10080500000.0,553790000.0,336680000.0,-210740000.0,210740000.0,72916499.920597,77560000.0,11772110000.0,71199575.0,71199575.0,1.089332,1.089332,77560000.0,77560000.0,0.0,77560000.0,0.0,77560000.0,77560000.0,48380000.0,125940000.0,40920000.0,7540000.0,-16050000.0,8510000.0,-210740000.0,210740000.0,288220000.0,1691610000.0,552490000.0,217110000.0,217110000.0,1979830000.0,10080500000.0,12060330000.0,12060330000.0
