Preferred Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Prepaid Assets,Inventory,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
3362200.0,334221000.0,334221000.0,,168984000.0,168984000.0,156686000.0,202606000.0,168984000.0,33622000.0,202606000.0,202606000.0,202606000.0,-165237000.0,,367843000.0,334221000.0,33622000.0,204000.0,0.0,,,,204000.0,,,145000.0,,145000.0,202810000.0,45919000.0,,,0.0,75000.0,75000.0,,45844000.0,,,,,,,,,156890000.0,,,155337000.0,1121000.0,,,432000.0,430000.0,2000.0,,,2024-03-31
3362200.0,334221000.0,334221000.0,,213840000.0,213840000.0,153383000.0,247462000.0,213840000.0,33622000.0,247462000.0,247462000.0,247462000.0,-120381000.0,,367843000.0,334221000.0,33622000.0,1301000.0,0.0,,,,1301000.0,,50000.0,1251000.0,,1251000.0,248763000.0,94078000.0,,,35890000.0,0.0,,,58188000.0,,,,,,,,,154684000.0,,,153785000.0,770000.0,,,129000.0,127000.0,2000.0,,,2023-09-30
3362200.0,334221000.0,334221000.0,0.0,208611390.0,208611390.0,148081270.0,242233390.0,208611390.0,33622000.0,242233390.0,242233390.0,242233390.0,-125610000.0,-125609610.0,367843000.0,334221000.0,33622000.0,1479010.0,470.0,470.0,0.0,0.0,1478540.0,50000.0,,1428540.0,90740.0,1337800.0,243712400.0,94152600.0,370.0,74650.0,35889830.0,0.0,75000.0,0.0,58187750.0,-58602270.0,116790020.0,0.0,3355370.0,52017640.0,60024500.0,1392510.0,0.0,149559810.0,147536860.0,0.0,147537000.0,770450.0,0.0,770450.0,1252500.0,1000000.0,1252500.0,0.0,1252500.0,2023-03-31
