Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
282188156.0,282188156.0,,12309300000.0,65133620000.0,88385230000.0,16094950000.0,65133620000.0,2403340000.0,78479270000.0,78479270000.0,78475470000.0,-3800000.0,78479270000.0,78197080000.0,,,282190000.0,282190000.0,65110770000.0,6924900000.0,16910000.0,,2800000.0,1516910000.0,1516910000.0,0.0,58185870000.0,2443630000.0,10792390000.0,886430000.0,9905960000.0,6411240000.0,28268770000.0,,,2909520000.0,25359250000.0,143586240000.0,69305420000.0,1492310000.0,,10497220000.0,8595470000.0,8595470000.0,,13345650000.0,12672060000.0,673590000.0,35374770000.0,,35374770000.0,4193240000.0,31181530000.0,,,,,74280820000.0,12235660000.0,0.0,,,25130510000.0,,,,,,0.0,18584120000.0,,,18330530000.0,1747830000.0,16582700000.0,,2024-03-31
282168156.0,282168156.0,37979900000.0,51817270000.0,69005160000.0,142480770000.0,54293860000.0,69005160000.0,2607440000.0,93270940000.0,132039410000.0,97356750000.0,4085810000.0,93270940000.0,92988770000.0,,,282170000.0,282170000.0,102707410000.0,44331940000.0,13600000.0,,4480000.0,40430330000.0,1661860000.0,38768470000.0,58375470000.0,3230940000.0,11386940000.0,945580000.0,10441360000.0,5307400000.0,20404310000.0,,,1231580000.0,19172730000.0,200064160000.0,87394830000.0,1971450000.0,,17118660000.0,782530000.0,782530000.0,,24265780000.0,23576260000.0,689520000.0,43256410000.0,,43256410000.0,12214360000.0,31042050000.0,,,,,112669330000.0,14430480000.0,26234720000.0,,,26499200000.0,,,,,,0.0,32005040000.0,,,13499890000.0,2269960000.0,11229930000.0,,2023-09-30
282168156.0,282168156.0,29046940000.0,46272380000.0,70396210000.0,138216430000.0,48281890000.0,70396210000.0,2795180000.0,94739230000.0,133260610000.0,98392590000.0,3653360000.0,94739230000.0,176170000.0,94570390000.0,17053600000.0,282170000.0,282170000.0,95324170000.0,44868870000.0,13290000.0,1318530000.0,429480000.0,40463520000.0,1942140000.0,38521380000.0,50455300000.0,78130000.0,5808860000.0,853040000.0,4955820000.0,5075470000.0,28079740000.0,3093460000.0,11910000.0,1055760000.0,23918610000.0,193716760000.0,94979570000.0,1538570000.0,1633980000.0,18059130000.0,473540000.0,427060000.0,46480000.0,24343020000.0,23606830000.0,736190000.0,50469900000.0,-24157710000.0,74627610000.0,11428270000.0,39041630000.0,38380960000.0,24120550000.0,697830000.0,0.0,98737190000.0,11536170000.0,,266700000.0,6726930000.0,29777910000.0,2988700000.0,12930070000.0,4550550000.0,9308590000.0,1218180000.0,5127370000.0,40986060000.0,-1411910000.0,42397970000.0,14634040000.0,203780000.0,14430260000.0,14430260000.0,2023-03-31
