Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
14297288.0,14297288.0,234700000.0,487700000.0,3374900000.0,4164300000.0,824300000.0,3374900000.0,197200000.0,3873800000.0,3887600000.0,3873800000.0,3873800000.0,3730800000.0,,,143000000.0,143000000.0,1144500000.0,199300000.0,,,151800000.0,138000000.0,13800000.0,47500000.0,945200000.0,35700000.0,335900000.0,59200000.0,276700000.0,,11100000.0,490400000.0,,,,490400000.0,5018300000.0,3248800000.0,53500000.0,,334100000.0,32500000.0,32500000.0,498900000.0,487900000.0,11000000.0,2287400000.0,,2287400000.0,117400000.0,2170000000.0,,,,,1769500000.0,255300000.0,52800000.0,,,469300000.0,,,,,797800000.0,,,194300000.0,138500000.0,55800000.0,,2024-03-31
14262188.0,14262188.0,16800000.0,319500000.0,3471100000.0,3863800000.0,905400000.0,3471100000.0,250900000.0,3795200000.0,3821900000.0,3795200000.0,3795200000.0,3652600000.0,,,142600000.0,142600000.0,945400000.0,239900000.0,,,191000000.0,164300000.0,26700000.0,48900000.0,705500000.0,27300000.0,128500000.0,86600000.0,41900000.0,11100000.0,,474700000.0,,,,474700000.0,4740600000.0,3129700000.0,44000000.0,,343400000.0,27300000.0,27300000.0,324100000.0,313100000.0,11000000.0,2354800000.0,,2354800000.0,81800000.0,2273000000.0,,,,,1610900000.0,337800000.0,,,,545600000.0,,,,,615600000.0,,,111900000.0,60100000.0,51800000.0,,2023-09-30
12728289.0,12728289.0,640100000.0,962000000.0,2776300000.0,3621700000.0,549500000.0,2776300000.0,306200000.0,2965900000.0,3348500000.0,2965900000.0,2965900000.0,264100000.0,796000000.0,1468800000.0,127300000.0,127300000.0,1675700000.0,637100000.0,-100000.0,54000000.0,583100000.0,200500000.0,382600000.0,54000000.0,1038600000.0,-100000.0,378900000.0,105700000.0,273200000.0,11900000.0,11900000.0,642500000.0,118400000.0,100000.0,4200000.0,519800000.0,4641600000.0,3053600000.0,44800000.0,56500000.0,344200000.0,15900000.0,15900000.0,189600000.0,178600000.0,11000000.0,2426200000.0,-1208600000.0,3634800000.0,38400000.0,598800000.0,1310900000.0,681000000.0,1005700000.0,0.0,1588100000.0,226200000.0,,49500000.0,213700000.0,570300000.0,15800000.0,191600000.0,362900000.0,55600000.0,683300000.0,-48100000.0,731400000.0,15700000.0,14900000.0,15700000.0,15700000.0,2023-03-31
