Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Research And Development,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-344760000.0,0.4,192930500000.0,-861900000.0,-861900000.0,174071800000.0,71505300000.0,737848800000.0,192068600000.0,120563300000.0,-22337700000.0,22337700000.0,174588940000.0,174071800000.0,318990100000.0,,,,,174071800000.0,174071800000.0,0.0,174071800000.0,-1214100000.0,175285900000.0,,175285900000.0,-81592800000.0,98225600000.0,-760117500000.0,-880900000.0,712900000.0,0.0,0.0,168000000.0,-22337700000.0,22337700000.0,873143400000.0,-418858700000.0,,71505300000.0,71505300000.0,32541100000.0,454284700000.0,737848800000.0,1192133500000.0,1192133500000.0,2024-03-31
-63838153.659747,0.072297,169171700000.0,-883000000.0,-883000000.0,70251100000.0,68500000000.0,682776700000.0,168288700000.0,99788700000.0,-24849100000.0,24849100000.0,71070261846.34026,70251100000.0,1080876300000.0,3817994565.0,3813849077.0,18.4,18.42,70251100000.0,70251100000.0,0.0,70251100000.0,-1203200000.0,71454300000.0,,71454300000.0,5417900000.0,74939600000.0,82705500000.0,-883000000.0,,0.0,204300000.0,678700000.0,-24849100000.0,24849100000.0,17115900000.0,398099600000.0,198952700000.0,68500000000.0,68500000000.0,27403700000.0,415215500000.0,682776700000.0,1097992200000.0,1097992200000.0,2023-12-31
-638453680.327705,0.368006,154474800000.0,-1734900000.0,-1734900000.0,37149600000.0,66364200000.0,669097000000.0,152739900000.0,86375700000.0,-26516900000.0,26516900000.0,38246046319.672295,37149600000.0,855104400000.0,3840816327.0,3836901121.0,9.8,9.81,37640000000.0,37640000000.0,0.0,37640000000.0,-680800000.0,38320800000.0,490400000.0,37830400000.0,22028400000.0,59858800000.0,-102143700000.0,-1236900000.0,1233100000.0,0.0,,3800000.0,-26516900000.0,26516900000.0,189326200000.0,186007400000.0,,66364200000.0,66364200000.0,25505600000.0,375333600000.0,669097000000.0,1044430600000.0,1044430600000.0,2023-09-30
-2274215478.291146,0.335935,145782600000.0,-6769800000.0,-6769800000.0,32028000000.0,66331800000.0,637834500000.0,139012800000.0,72681000000.0,-26153900000.0,26153900000.0,36523584521.708855,32028000000.0,806139500000.0,3840287770.0,3835688623.0,8.34,8.35,32028000000.0,32028000000.0,0.0,32028000000.0,-978500000.0,33006500000.0,,33006500000.0,15630100000.0,46527100000.0,-126276500000.0,-6769800000.0,6753900000.0,0.0,0.0,15900000.0,-26153900000.0,26153900000.0,209145400000.0,168305000000.0,,66331800000.0,66331800000.0,24136800000.0,377450400000.0,637834500000.0,1015284900000.0,1015284900000.0,2023-06-30
-5181060000.0,0.3,162030300000.0,-17270200000.0,-17270200000.0,54077900000.0,70502000000.0,-1283530700000.0,144760100000.0,74258100000.0,-13904900000.0,26416700000.0,66167040000.0,54077900000.0,-1452631600000.0,,,,,54077900000.0,54077900000.0,0.0,54077900000.0,-882500000.0,54960400000.0,,51596600000.0,-6206500000.0,47841400000.0,-350302400000.0,-7481600000.0,424700000.0,4287800000.0,2769100000.0,0.0,-13904900000.0,26416700000.0,2502798600000.0,-169100900000.0,-412694000000.0,70502000000.0,70502000000.0,28118600000.0,2333697700000.0,-1283530700000.0,1050167000000.0,1050167000000.0,2023-03-31
,,,,,,,,,,,,,,,3787080666.0,3787080666.0,7.81,7.81,,,,,,,,,,,,,4000000.0,,0.0,,,,,,149798300000.0,,,,,,,,2022-12-31
154063134.16009,0.358286,174890000000.0,430000000.0,430000000.0,55660000000.0,65740000000.0,659130000000.0,175320000000.0,109580000000.0,-20880000000.0,20880000000.0,55384063134.16009,55660000000.0,1060490000000.0,3838620690.0,3835975190.0,14.5,14.51,55660000000.0,55660000000.0,0.0,55660000000.0,-1260000000.0,56920000000.0,,56920000000.0,31780000000.0,88700000000.0,92430000000.0,430000000.0,-1160000000.0,,0.0,730000000.0,-20880000000.0,20880000000.0,12670000000.0,401360000000.0,197330000000.0,65740000000.0,65740000000.0,27590000000.0,414030000000.0,659130000000.0,1073160000000.0,1073160000000.0,2024-06-30 00:00:00
