Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Raw Materials,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,5370105860.0,5370105860.0,34165300000.0,35618700000.0,43636500000.0,79014300000.0,16071500000.0,43636500000.0,243200000.0,43638800000.0,74632600000.0,43638800000.0,43638800000.0,-10062300000.0,,,53701100000.0,53701100000.0,52017900000.0,39460000000.0,8224400000.0,,,0.0,31145300000.0,151500000.0,30993800000.0,90300000.0,12557900000.0,564200000.0,4473400000.0,91700000.0,4381700000.0,,413300000.0,1624200000.0,,1624200000.0,95656700000.0,67027300000.0,80800000.0,,2020100000.0,2020100000.0,2300000.0,2300000.0,64786800000.0,,64786800000.0,670200000.0,64116600000.0,,,,,28629400000.0,918100000.0,,,2380900000.0,,,20642600000.0,4687800000.0,3477600000.0,1210200000.0,,2024-03-31
,5370105860.0,5370105860.0,108998500000.0,109859500000.0,-57155800000.0,52411700000.0,-156267100000.0,-57155800000.0,294200000.0,-57153600000.0,-21375200000.0,-57153600000.0,-57153600000.0,-110854700000.0,,,53701100000.0,53701100000.0,230688200000.0,44935800000.0,8496700000.0,,,357400000.0,35970800000.0,192400000.0,35778400000.0,98800000.0,185752400000.0,569700000.0,73888700000.0,101800000.0,73786900000.0,,411200000.0,3305400000.0,,3305400000.0,173534600000.0,144049300000.0,169200000.0,,2313800000.0,2313800000.0,2200000.0,2200000.0,141476300000.0,,141476300000.0,10995600000.0,130480700000.0,,,,,29485300000.0,1524000000.0,,,2153100000.0,,100000.0,18659800000.0,7148300000.0,6581500000.0,566800000.0,,2023-09-30
0.0,5370105860.0,5370105860.0,200316503000.0,209667358000.0,-45332015000.0,155244627000.0,-153095958000.0,-45332015000.0,9093442000.0,-45329289000.0,-19790225000.0,-45329289000.0,-45329289000.0,-99030300000.0,-123254068000.0,18712456000.0,53701059000.0,53701059000.0,219047850000.0,34845175000.0,8762400000.0,93282000.0,1171000.0,203654000.0,34535493000.0,8996429000.0,25539064000.0,93300000.0,184202675000.0,569400000.0,175131865000.0,97013000.0,175034852000.0,19825000.0,388398000.0,2894533000.0,67166000.0,2827367000.0,173718561000.0,142611844000.0,-1000.0,292729000.0,0.0,846900000.0,2726000.0,2726000.0,141603411000.0,-31604055000.0,173207466000.0,11100342000.0,2360305000.0,152844352000.0,4732874000.0,2169593000.0,0.0,31106717000.0,2364100000.0,2077956000.0,2381506000.0,1360387000.0,1360387000.0,4751000.0,24919503000.0,337326000.0,79913000.0,257413000.0,257413000.0,2023-03-31
