Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
,9927553.0,9927553.0,11575700000.0,12178400000.0,48116700000.0,60719400000.0,11554200000.0,48116700000.0,,48541000000.0,60719400000.0,67382400000.0,18841400000.0,48541000000.0,48441700000.0,,,99300000.0,99300000.0,30253000000.0,20980900000.0,981700000.0,0.0,,4750500000.0,12178400000.0,,12178400000.0,424600000.0,9272100000.0,,,,9242100000.0,,,144900000.0,9097200000.0,97635400000.0,76809100000.0,2240100000.0,,20100000.0,,34279600000.0,34279600000.0,,162600000.0,424300000.0,423800000.0,500000.0,39682400000.0,,39682400000.0,7283100000.0,32399300000.0,,,,,20826300000.0,0.0,26100000.0,,261200000.0,10268200000.0,,,,,,,9121200000.0,,,1149600000.0,546900000.0,602700000.0,,,2024-03-31
0.0,9891861.0,9891861.0,10049100000.0,12202600000.0,40166500000.0,52767900000.0,14152200000.0,40166500000.0,,40565300000.0,52767900000.0,59930100000.0,19364800000.0,40565300000.0,40466400000.0,,,98900000.0,98900000.0,29508000000.0,19809600000.0,1839100000.0,0.0,,3755000000.0,12202600000.0,,12202600000.0,337500000.0,9698400000.0,,,,9672800000.0,,,242000000.0,9430800000.0,89438100000.0,65587500000.0,2007700000.0,,5800000.0,40400000.0,26576100000.0,26576100000.0,,165800000.0,398800000.0,398300000.0,500000.0,36392900000.0,,36392900000.0,4340500000.0,32052400000.0,,,,,23850600000.0,,20100000.0,,,11821900000.0,,,,,,516000000.0,8782100000.0,,,2710500000.0,557000000.0,2153500000.0,,,2023-09-30
,9883931.0,9883931.0,8749000000.0,9715900000.0,30336700000.0,40364900000.0,21857700000.0,30336700000.0,77100000.0,30726100000.0,37168800000.0,49228300000.0,18502200000.0,30726100000.0,215200000.0,15093400000.0,151000000.0,98800000.0,98800000.0,26104000000.0,9605400000.0,169300000.0,14800000.0,308800000.0,2486900000.0,6519800000.0,77100000.0,6442700000.0,,16498600000.0,3196100000.0,3196100000.0,553100000.0,11735500000.0,1042000000.0,61000000.0,226200000.0,10406300000.0,75332300000.0,36976000000.0,98100000.0,462500000.0,0.0,0.0,1097200000.0,16164600000.0,1097200000.0,169000000.0,389400000.0,389300000.0,100000.0,34759800000.0,-20036400000.0,54796200000.0,3875000000.0,6200000.0,39506100000.0,5554400000.0,5854500000.0,0.0,38356300000.0,,,63700000.0,2117600000.0,11345300000.0,14300000.0,1234300000.0,2402900000.0,7693800000.0,38000000.0,,8179400000.0,-457000000.0,8636400000.0,16612300000.0,15722500000.0,889800000.0,267500000.0,622300000.0,2023-03-31
