Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
14589576.0,14589576.0,277100000.0,453500000.0,3130100000.0,3540300000.0,755200000.0,3130100000.0,43500000.0,3130300000.0,3540300000.0,3130300000.0,3130300000.0,2984400000.0,,,145900000.0,145900000.0,2412500000.0,738500000.0,,,158900000.0,429500000.0,19500000.0,410000000.0,19300000.0,1674000000.0,123800000.0,24000000.0,24000000.0,0.0,,35300000.0,1489100000.0,,,0.0,1489100000.0,5542800000.0,3113600000.0,5700000.0,,,136400000.0,136400000.0,,,200000.0,200000.0,2964000000.0,,2964000000.0,500000.0,2963500000.0,,,,,2429200000.0,89500000.0,,,890200000.0,,,,,,,1314900000.0,,,134600000.0,1700000.0,132900000.0,,2024-03-31
14494576.0,14494576.0,107900000.0,247900000.0,3096100000.0,3286400000.0,610800000.0,3096100000.0,57900000.0,3096400000.0,3286400000.0,3096400000.0,3096400000.0,2950900000.0,,,145500000.0,145500000.0,1878800000.0,519100000.0,,,150900000.0,223000000.0,33000000.0,190000000.0,18200000.0,1359700000.0,93700000.0,24900000.0,24900000.0,0.0,,14500000.0,1071800000.0,,,0.0,1071800000.0,4975200000.0,3004700000.0,7700000.0,,,130700000.0,130700000.0,,,300000.0,300000.0,2860400000.0,,2860400000.0,18400000.0,2842000000.0,,,,,1970500000.0,149400000.0,,,810100000.0,,,,,,,926500000.0,,,84500000.0,2400000.0,82100000.0,,2023-09-30
14487076.0,14487076.0,,86637000.0,3102419000.0,3121160000.0,755190000.0,3102419000.0,67897000.0,3102420000.0,3102420000.0,3102420000.0,3102420000.0,54676000.0,2127766000.0,188339000.0,144871000.0,144871000.0,1708793000.0,345737000.0,6000.0,18783000.0,152559000.0,44030000.0,44030000.0,0.0,18800000.0,1363056000.0,-6000.0,42607000.0,23867000.0,18740000.0,14797000.0,14800000.0,1263265000.0,99718000.0,718000.0,9377000.0,1153452000.0,4811213000.0,2692967000.0,2000.0,0.0,64174000.0,129600000.0,129600000.0,95012000.0,95012000.0,1000.0,1000.0,2528179000.0,-1222791000.0,3750970000.0,28139000.0,11378000.0,2356482000.0,887285000.0,467686000.0,0.0,2118246000.0,78066000.0,718000.0,32342000.0,861458000.0,-32450000.0,17753000.0,638517000.0,18354000.0,219284000.0,942000.0,1112463000.0,-3188000.0,1115651000.0,32257000.0,1600000.0,32257000.0,32257000.0,2023-03-31
