Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Trading Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number,Non Current Pension And Other Postretirement Benefit Plans
90490055.0,90490055.0,8451100000.0,11378400000.0,32317600000.0,44105700000.0,11469600000.0,32317600000.0,328700000.0,33056000000.0,38891500000.0,34272500000.0,1216500000.0,33056000000.0,32875000000.0,,,181000000.0,181000000.0,23099500000.0,8085300000.0,1977800000.0,6073100000.0,237600000.0,5835500000.0,34400000.0,15014200000.0,2767000000.0,5305300000.0,91100000.0,5214200000.0,,154800000.0,5713400000.0,,,186900000.0,5526500000.0,57372000000.0,30888200000.0,996000000.0,,1601600000.0,,2422200000.0,2422200000.0,,,278300000.0,738400000.0,440300000.0,298100000.0,24436700000.0,,24436700000.0,4873600000.0,19563100000.0,,,,,26483800000.0,2985000000.0,,,,8468200000.0,,,,32200000.0,8448500000.0,,,6549900000.0,3951300000.0,2598600000.0,,,2024-03-31,,
90490055.0,90490055.0,8034600000.0,10566200000.0,28003900000.0,38876200000.0,9952900000.0,28003900000.0,276800000.0,28586800000.0,33703700000.0,29734200000.0,1147400000.0,28586800000.0,28405800000.0,,,181000000.0,181000000.0,21810100000.0,7032600000.0,1686400000.0,5326100000.0,209200000.0,5116900000.0,20100000.0,14777500000.0,2767900000.0,5240100000.0,67600000.0,5172500000.0,,156300000.0,6040800000.0,,,575300000.0,5465500000.0,51544300000.0,26813900000.0,1713000000.0,,1390000000.0,,2422200000.0,2422200000.0,,,,582900000.0,475300000.0,107600000.0,20310100000.0,,20310100000.0,3072900000.0,17237200000.0,,,,,24730400000.0,3191500000.0,,,,9547400000.0,,,,645400000.0,8077500000.0,,,3268600000.0,1013800000.0,2254800000.0,,,2023-09-30,,
90490055.0,90490055.0,9241900000.0,11946800000.0,25489300000.0,37795700000.0,8690300000.0,25489300000.0,254500000.0,26103400000.0,30830500000.0,27507000000.0,1403600000.0,26103400000.0,,16834100000.0,1491300000.0,181000000.0,181000000.0,22855500000.0,6532300000.0,1589300000.0,4916600000.0,189500000.0,4727100000.0,26400000.0,16323200000.0,17500000.0,7030200000.0,65000000.0,6965200000.0,100000.0,141600000.0,6792100000.0,1278300000.0,500000.0,628500000.0,4884800000.0,50362500000.0,25349000000.0,6000000.0,1479700000.0,1275100000.0,0.0,785100000.0,774000000.0,10500000.0,600000.0,,614100000.0,507500000.0,106600000.0,19224500000.0,-4714500000.0,23939000000.0,2794000000.0,29500000.0,10333400000.0,8624400000.0,2157700000.0,0.0,25013500000.0,1107100000.0,92100000.0,102900000.0,1493900000.0,10979900000.0,2215500000.0,623300000.0,8141100000.0,286800000.0,8252800000.0,-729200000.0,8982000000.0,2698000000.0,247600000.0,2450400000.0,29500000.0,2420900000.0,2023-03-31,,
